CaneID,coy,Treatment
1001,",+36442....18.6..6.388878.8977.7...L43",Untreated control
1002,",872.36.2..8.79.8.97.8498.7667.7.8.762.L40",Budup Lonza 4% + AB 2%           M
1003,",99889935497.9847776716344L61",Budup 1% + AB 2%                        E
1004,",8066.67.78.69.7619.9967.78.6568.8..6L28",Budup 1% + AB 2%                       VL
1005,",..6734.75.6688.7598665555L28",Budup 4% + AB 2%                        M
1006,",43...57.05.98.8066.9.5.788872527774l18",6% HiCane                                        L
1007,",99975979599.698887.6L20",Budup 4% + AB 2%                         L
1008,",....04..6.63..608.55.6089.9699999.54L41",Budup 4% + AB 2%                       VL
1009,",645.25.44.9.76.5574.5.55.4.00.L0",2% AB                                                M
1010,",989948898.8999.987997L49",Budup 1% + AB 2%                        M
1011,",783..65..6.8.7.589887.8698.999897.l33",Budup 6% + AB 2%                        E
1012,",76.......6.-8588.9.88799985999999..89l22",Budup 2% + AB 2%                         L
1013,",8817.9.9-19997..l30",Budup 6% + AB 2%                        M
1014,",5798888899.9979.79.9978.1.4l25",Budup 6% + AB 2%                         L
1015,",16.75.7.66.8.98.8.89.945l34",Budup 6% + AB 2%                       VL
1016,",-879545759.77.7818.87.8.7l70",Budup 4% + AB 2%                        E
1017,",54.58496799796.98.76.7.87.77l0",Budup 2% + AB 2%                       VL
1018,",7899939.99.9999.99999..l19",Budup 1% + AB 2%                         L
1019,",-37..33.8.9.7..9.79.7788..l27",Untreated control
1020,",9...6.28.5.7158.8999.64.l26",6% HiCane                                      VL
1021,",77677873.29999.7..l27",Budup 2% + AB 2%                        E
1022,",97399..76.9.886591787.667.2l39",6% HiCane                                       M
1023,",-4..48.7758787.7..8.78.92887869..l17",Budup 2% + AB 2%                        M
1024,",--.807-08765745.-998........8454-.7155.l68",6% HiCane + 0.2% Driftstop E         
1025,",678.8.78.9878.8988988.4.5L53",Budup 1% + AB 2%                        E
1026,",652.9879.9--9259.99887L55",Budup 6% + AB 2%                        M
1027,",56..776766.66.79.89.9888.879.99.9998.66L91",Untreated control
1028,",55.6.6.08.74.6.6635.6.7999789797888L14",Budup 1% + AB 2%                       VL
1029,",526.3.7589318646.66.54.0.00L8",Budup 6% + AB 2%                         L
1030,",.3365..55467.987838811771.44L0",6% HiCane                                        L
1031,",57066.9.988679.84755.624.79.99876.7..L24",Budup 4% + AB 2%                        M
