CaneID,30-Aug,4-Sep,9-Sep,12-Sep,16-Sep,19-Sep,23-Sep,26-Sep,30-Sep,3-Oct,7-Oct,x
1001,1,1,1,1,7,10,13,13,14,17,21,x
1002,,,,,1,1,8,18,23,26,x,
1003,,,,,1,5,8,13,16,22,x,
1004,,,,,0,1,2,5,9,21,24,
1005,,1,1,1,4,11,15,22,x,,,
1006,,,,2,5,12,22,23,25,x,,
1007,,,,,0,0,2,7,13,18,x,
1008,,,,,1,2,4,10,18,20,24,x
1009,,,,,0,0,0,2,4,10,13,
1010,,,,,1,2,7,14,18,19,x,
1011,,,,,3,5,8,16,20,23,x,
1012,,,,,1,3,6,11,19,25,x,
1013,,,1,1,1,3,8,11,x,,,
1014,,,,,0,1,3,9,16,21,x,
1015,,,,,0,3,6,9,12,16,x,
1016,,,1,3,6,9,14,14,14,19,x,
1017,,,,,0,0,0,2,5,13,22,x
1018,,,,,0,1,3,5,9,16,x,
1019,,,1,1,1,4,8,12,12,13,x,
1020,,,,,1,2,7,7,9,14,x,
1021,,,,,1,3,3,7,9,13,x,
1022,,,,,6,12,18,20,21,22,x,
1023,,,,,0,0,4,13,21,x,,
1024,,2,2,12,14,17,18,20,23,x,,
1025,,,,,2,2,8,14,15,20,x,
1026,,,,,0,0,3,13,17,18,x,
1027,,,1,1,3,4,13,18,24,29,x,
1028,,,,,0,0,2,2,12,18,27,x
1029,,,1,2,2,2,3,10,16,17,x,
1030,,,,,0,3,12,15,23,23,x,
1031,,,,,0,0,0,5,19,19,24,
1032,,,1,1,1,2,3,12,25,25,28,
1033,,,,,0,0,2,7,13,16,x,
1034,,,,,0,0,1,3,14,17,22,x
1035,,,,,0,0,1,15,25,27,x,
1036,,,,,5,8,16,18,x,,,
1037,,,,,0,0,4,10,20,21,x,
1038,,,,,0,0,0,2,4,8,15,
1039,,,,1,1,2,4,9,16,20,28,x
1040,,,,1,1,1,4,7,13,15,x,
1041,,,,,0,0,3,5,9,10,15,
1042,,,,,2,2,6,9,13,13,x,
1043,,,1,1,1,2,6,9,12,12,x,
1044,,,,,0,0,2,6,15,20,x,
1045,,,,,2,3,7,7,9,13,21,x
1046,,3,5,6,11,13,13,x,,,,
1047,,,1,1,1,3,4,7,10,12,x,
1048,,,,2,5,7,9,12,15,x,,
1049,,,1,1,1,2,8,16,17,20,20,x
1050,,,,,0,2,7,11,15,20,x,
1051,,,,,0,0,2,2,6,13,19,
1052,,,,,0,0,4,10,20,24,x,
1053,,,,,0,1,4,8,13,17,21,
1054,,,,,0,0,0,2,5,15,17,x
1055,,,,,3,11,24,25,29,30,x,
1056,,,,,0,3,5,9,10,17,x,
1057,,,1,1,1,2,2,4,7,20,23,x
1058,,,,1,2,2,3,3,5,7,12,
1059,,,,,0,0,1,3,5,14,21,x
1060,,,,,0,0,4,10,15,22,25,x
1061,,,,,0,0,2,3,10,14,17,x
1062,,,,1,2,4,12,14,24,x,,
1063,,,,,0,0,4,7,8,15,21,
1064,,,1,4,6,10,14,14,16,23,x,
1065,,,1,1,1,1,1,2,7,11,16,x
1066,,,10,13,14,14,15,x,,,,
1067,,,1,1,3,7,12,13,15,x,,
1068,,,,,0,1,2,3,6,9,13,
1069,,,,,0,0,2,8,16,22,x,
1070,,,,1,1,2,4,13,14,19,22,x
1071,,,,,1,3,10,13,16,19,21,x
1072,,,,,0,0,0,4,11,17,25,
1073,,,,,1,1,4,8,17,29,41,x
1074,,,,1,1,4,12,13,14,18,21,
1075,,,,,1,8,27,28,30,30,x,
1076,,,,,0,1,4,9,13,13,x,
1077,,,,2,5,9,11,15,x,,,
1078,,,1,1,1,2,11,14,19,21,x,
1079,,1,5,13,17,21,25,25,x,,,
1080,,,3,0,0,0,2,4,6,15,x,
1081,,,,1,1,1,7,11,12,24,27,x
1082,,,,,0,1,3,9,19,26,34,x
1083,,1,1,1,2,3,7,9,12,19,x,
1084,,,,1,1,2,7,9,11,14,x,
1085,,,,,0,2,3,6,9,10,x,
1086,,,,,0,0,2,4,7,9,12,
1087,,,,,0,0,0,5,19,26,28,
1088,,,2,0,0,0,1,2,4,8,12,x
1089,,,,1,2,8,9,12,14,x,,
1090,,,,,1,1,3,7,9,11,x,
1091,,,,,0,0,0,0,6,10,10,x
1092,,,,,0,1,3,4,11,15,x,
1093,,,,,0,1,4,10,11,x,,
1094,,,1,2,3,3,4,9,11,14,16,x
1095,,,,,0,0,1,2,7,16,22,
1096,,,,,0,1,1,1,2,10,15,x
1097,,1,2,2,2,3,3,12,19,21,x,
1098,,,,,2,3,8,14,17,17,22,x
1099,,,,,0,0,1,4,8,17,21,
1100,,,,1,1,1,2,5,18,19,20,x
1101,,,2,2,3,4,6,11,13,13,x,
1102,,,,,0,0,2,2,3,12,15,
1103,,,,,1,2,12,19,21,24,x,
1104,,,2,3,9,12,23,29,30,32,x,
1105,,,,,0,0,1,5,20,24,28,x
1106,,,2,2,3,5,9,21,24,29,x,
1107,,,,,1,2,5,11,16,19,23,
1108,,,1,1,1,2,9,18,21,21,x,
1109,,,,,0,0,0,1,3,13,25,
1110,,,,,1,1,4,11,21,22,x,
1111,,,1,2,3,6,10,11,15,17,x,
1112,,,,,4,6,12,19,27,30,x,
1113,,1,2,3,8,9,13,14,18,x,,
1114,,,,,1,1,3,5,15,24,x,
1115,,,,,0,1,2,11,14,21,24,x
1116,,,3,6,7,10,12,14,x,,,
1117,,,1,1,1,1,1,2,5,13,15,x
1118,,,,,0,0,2,13,19,21,25,x
1119,,,,,0,1,1,5,6,8,x,
1120,,,,,2,3,13,16,19,21,x,
1121,,,,,5,13,17,20,24,x,,
1122,,,,,0,0,2,7,13,15,21,x
1123,,,,,0,0,1,6,23,25,x,
1124,,,,,0,0,1,5,11,16,21,x
1125,,,,,1,1,9,15,16,17,17,x
1126,,,1,1,3,8,15,17,25,25,x,
1127,,,,,0,1,2,5,21,23,x,
1128,,,,,0,1,8,9,15,16,x,
1129,,,1,2,3,3,4,9,11,11,x,
1130,,,,,0,1,5,6,21,22,24,x
1131,,,,,1,3,12,16,18,19,22,x
1132,,,,,2,7,10,15,18,20,x,
1133,,,,,0,0,3,11,17,21,x,
1134,,,1,3,4,10,12,12,x,,,
1135,,,,1,6,9,15,16,x,,,
1136,,,,,0,0,1,8,19,22,26,
1137,,,,,1,1,3,11,14,17,21,x
1138,,,,1,1,1,6,11,19,25,x,
1139,,,,,0,1,2,10,19,22,27,x
1140,,,,3,4,5,8,17,23,24,25,x
1141,,,1,1,1,2,3,8,11,15,17,x
1142,,,,,0,0,0,3,7,15,17,
1143,,,,,0,0,0,4,16,18,x,
1144,,,1,1,1,3,4,7,9,10,x,
1145,,,,,0,0,1,5,11,16,x,
1146,,,1,1,5,7,7,7,8,13,17,
1147,,,,,0,0,4,10,19,18,x,
1148,,,,2,7,12,16,16,18,19,x,
1149,,,,,1,2,5,6,8,13,x,
1150,,,,,0,0,0,0,2,9,16,
1151,,,,,0,0,2,9,14,20,x,
1152,,,,,1,1,5,12,19,22,x,
1153,,,3,10,18,25,34,34,37,x,,
1154,,,,1,1,1,5,10,13,20,x,
1155,,,1,1,1,1,1,6,19,27,35,x
1156,,,1,2,4,5,10,14,17,18,x,
1157,,,,,0,2,22,26,x,,,
1158,,,,,3,5,10,12,x,,,
1159,,,,,0,1,2,5,11,21,x,
1160,,,,,0,1,3,4,12,16,21,x
1161,,,1,1,1,3,13,13,15,18,x,
1162,,,,,1,1,1,8,10,12,x,
1163,,,,,1,1,7,10,12,16,x,
1164,,,,,0,0,1,2,14,18,20,x
1165,,,,,0,0,1,4,11,16,22,
1166,,,,,1,1,3,5,15,20,x,
1167,,1,1,1,2,3,10,11,11,x,,
1168,,,1,1,2,3,6,8,13,x,,
1169,,,,,0,0,0,1,12,23,26,
1170,,,,,0,0,1,3,14,21,27,
1171,,,,2,3,3,7,8,13,x,,
1172,,,,,0,0,2,7,22,29,x,
1173,,,,,2,9,16,22,21,x,,
1174,,,,3,6,9,20,27,29,32,x,
1175,,,,,0,1,2,2,7,17,x,
1176,,,,,1,3,5,10,19,23,26,x
1177,,,,2,3,3,7,9,13,21,x,
1178,,,,,0,3,9,11,18,19,x,
1179,,,,,0,0,0,0,6,17,22,x
1180,,,,,0,0,10,14,25,28,x,
1181,,,,1,2,3,8,10,14,27,x,
1182,,1,1,1,2,2,11,13,x,,,
1183,,,1,1,1,1,9,14,18,x,,
1184,,,1,1,1,2,11,13,16,18,x,
1185,,,,1,2,2,7,7,10,11,x,
1186,,,,,0,0,1,4,12,12,15,x
1187,,,,,2,2,10,17,21,23,x,
1188,,,,,0,0,4,6,11,15,x,
1189,,,,,0,1,5,8,11,13,x,
1190,,,,,1,2,4,13,19,23,26,x
1191,,1,2,10,15,16,19,20,x,,,
1192,,,,,0,0,2,3,5,10,16,x
1193,,,2,4,4,5,10,14,17,17,x,
1194,,,,,0,1,4,5,16,17,21,x
1195,,,,,0,0,0,3,10,13,18,
1196,,,1,4,4,11,15,17,19,19,x,
1197,,,,,0,1,3,6,12,13,x,
1198,,,,,1,2,14,14,16,16,x,
1199,,,,,0,3,7,12,14,x,,
1200,,,,,7,17,24,25,x,,,
1201,,1,1,1,1,1,2,2,16,22,x,
1202,,,,,0,1,2,11,21,21,x,
1203,,,1,1,3,19,32,32,x,,,
1204,,,,1,1,1,1,1,9,18,24,x
1205,,,,,0,0,0,1,17,20,x,
1206,,,,,0,0,0,1,6,10,12,x
1207,,,,,1,1,5,15,18,19,x,
1208,,,,,1,1,3,3,11,13,14,x
1209,,,,2,3,6,13,15,22,22,x,
1210,,,,,0,0,2,3,14,20,23,x
1211,,,,,0,1,2,5,14,14,x,
1212,,,1,3,3,5,10,12,18,21,x,
1213,,,1,2,3,8,9,10,11,13,17,x
1214,,,1,2,3,8,13,13,21,22,23,x
1215,,,6,11,16,19,22,24,x,,,
1216,,,,1,0,0,10,17,24,24,x,
1217,,,,,0,0,2,9,25,31,34,x
1218,,,,,0,0,0,4,16,19,23,x
1219,,,,1,1,4,4,8,10,10,13,
1220,,,,,0,7,10,12,14,14,x,
1221,,,1,3,3,10,18,19,19,20,x,
1222,,,,,0,4,11,13,16,17,x,
1223,,,,,0,1,2,9,18,19,23,x
