Cane,11-Sep,13-Sep,16-Sep,19-Sep,23-Sep,26-Sep,30-Sep,3-Oct,7-Oct,10-Oct,14-Oct,17-Oct,21-Oct,24-Oct,29-Oct,1-Nov,4-Nov,11-Nov,18-Nov
1,0,0,0,0,0,1,1,2,6,7,10,10,10,10,10,10,10,10,10
2,0,0,0,0,0,0,0,1,6,8,14,15,16,16,16,16,16,16,16
3,0,0,1,1,1,1,1,1,2,3,6,6,7,7,7,7,7,7,7
4,0,0,0,0,0,0,1,1,1,1,3,7,8,8,8,9,9,9,9
5,0,0,0,1,3,8,10,10,10,10,10,10,10,10,10,10,10,10,10
6,0,0,0,0,0,2,11,14,17,17,18,18,18,18,18,18,18,18,18
7,0,0,0,0,1,1,1,1,1,1,7,10,12,12,12,12,12,12,12
8,0,0,0,0,0,1,2,3,3,3,8,12,14,14,14,14,14,14,14
9,0,0,0,0,1,2,10,11,15,16,17,17,17,17,17,17,17,17,17
10,0,0,0,0,0,0,0,0,0,0,5,5,10,11,11,11,11,11,11
11,0,0,1,1,1,1,1,1,1,1,2,3,6,6,6,6,6,6,6
12,0,0,0,0,0,1,1,1,1,1,2,2,8,11,11,11,11,11,11
13,0,0,0,0,0,0,0,0,0,1,4,7,10,10,10,10,10,10,10
14,0,0,0,0,1,2,3,3,3,3,5,5,6,6,6,7,7,7,7
15,0,0,0,0,0,0,1,1,3,5,12,12,12,12,12,12,12,12,12
16,0,0,0,0,3,12,23,24,24,24,24,24,24,24,24,24,24,24,24
18,0,0,0,0,0,0,0,1,1,1,5,9,13,14,14,14,14,14,14
19,0,0,0,0,0,0,0,0,0,0,0,1,1,7,9,10,11,13,13
20,0,0,0,0,0,0,0,0,1,1,6,7,10,11,11,11,11,11,11
21,0,1,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,7,7
22,0,0,0,0,0,0,0,0,1,1,1,3,6,7,12,12,12,12,12
23,0,0,0,0,1,5,8,11,13,14,14,14,14,15,15,15,15,15,15
24,0,0,0,0,0,0,1,1,4,4,7,8,12,12,12,13,13,13,13
25,0,0,0,0,0,0,0,0,2,2,4,4,4,5,7,7,7,8,8
26,0,0,0,0,0,0,0,1,5,6,11,13,16,17,17,17,17,17,17
27,0,1,1,1,1,1,2,2,4,4,7,9,11,11,11,11,11,11,11
28,0,0,0,1,1,2,5,5,5,5,8,8,8,8,8,8,8,8,8
29,0,0,0,0,0,1,1,1,2,2,4,9,13,14,14,14,14,14,14
30,0,0,0,0,0,0,0,0,3,4,9,11,13,13,13,14,14,14,14
31,0,0,0,1,1,8,19,23,23,23,23,23,23,23,23,23,23,23,23
32,0,0,0,0,0,0,0,2,4,4,8,10,12,12,14,14,14,14,14
33,0,0,0,0,0,1,1,1,2,2,5,7,13,13,13,13,13,13,13
34,0,0,0,0,0,0,0,1,1,5,5,5,6,6,6,6,6,6,6
35,0,0,0,0,0,1,1,1,2,2,3,4,5,7,8,8,8,8,8
36,0,1,1,1,1,1,1,1,1,1,3,4,6,6,6,7,7,7,7
37,0,0,0,0,1,2,2,2,5,7,11,11,12,12,12,12,12,12,12
38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,6,7
39,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,4,4
40,0,0,0,0,0,0,0,0,0,1,2,4,4,4,7,7,9,11,11
41,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,4,7,8
42,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,8,8,8,8
43,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,4,5,6,6
44,0,0,0,0,0,0,0,0,3,5,6,6,7,8,8,8,8,8,8
45,1,1,1,8,12,15,16,16,16,16,16,16,16,16,16,16,16,16,16
46,0,0,0,0,0,0,1,7,11,11,13,14,14,14,14,14,14,14,14
47,0,0,0,0,0,0,0,1,4,5,5,5,5,5,5,6,6,6,6
48,0,0,0,0,0,0,0,0,2,5,13,13,13,13,13,13,13,13,13
49,0,0,0,0,0,0,1,1,2,2,7,8,13,13,13,13,13,13,13
50,1,1,1,1,1,1,1,1,1,5,8,12,13,13,13,14,14,14,14
