Cane,28-Oct,29-Oct,30-Oct,01-Nov,04-Nov,06-Nov,08-Nov,11-Nov,13-Nov,15-Nov,18-Nov,20-Nov,22-Nov,25-Nov,27-Nov,29-Nov,02-Dec
1,0,0,0,0,0,0,5,12,13,16,16,16,16,16,16,16,16
2,0,0,0,0,0,0,0,17,19,20,20,20,20,20,20,20,20
3,1,5,5,6,6,6,6,6,7,8,8,8,8,8,8,8,8
4,0,0,0,0,0,0,0,4,4,4,6,6,6,6,6,6,6
5,0,0,0,5,23,30,30,30,30,30,30,30,30,30,30,30,30
6,0,0,0,0,0,0,13,36,32,32,32,32,32,32,32,32,32
7,0,0,0,0,1,4,4,4,4,4,6,6,6,6,6,6,6
8,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
9,0,0,0,0,0,4,8,10,10,10,12,12,12,12,12,12,12
10,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
11,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
12,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4
13,0,0,0,0,0,0,0,1,4,6,6,6,6,6,6,6,6
14,0,0,0,0,6,6,6,6,8,8,8,8,8,9,9,9,9
15,0,0,0,0,0,0,0,6,8,10,10,10,10,10,10,10,10
16,0,0,0,0,0,10,35,50,51,50,50,50,50,50,50,50,50
18,0,0,0,0,0,0,0,2,2,2,5,5,5,5,5,5,5
19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
20,0,0,0,0,0,0,0,0,0,1,3,3,4,4,4,4,4
21,0,0,0,5,11,16,17,17,17,17,17,17,17,17,17,17,17
22,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
23,0,0,0,0,0,0,5,35,36,39,39,39,39,39,39,39,39
24,0,0,0,0,0,0,1,9,10,10,11,11,11,11,11,11,11
25,0,0,0,0,0,0,0,0,3,5,7,7,7,7,7,7,7
26,0,0,0,0,0,0,0,10,13,15,16,16,16,16,16,16,16
27,0,0,0,0,0,5,5,5,5,5,5,6,6,6,6,6,6
28,0,0,0,2,12,16,16,16,17,17,17,17,17,17,17,17,17
29,0,0,0,0,0,1,3,3,3,2,4,4,4,4,4,4,4
30,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3
31,0,0,0,0,0,0,22,46,47,47,47,47,47,47,47,47,47
32,0,0,0,0,0,3,6,9,9,9,9,10,10,10,10,10,10
33,0,0,0,0,0,0,0,6,9,10,12,12,14,14,14,14,14
34,0,0,0,0,0,0,0,11,14,14,15,15,15,15,15,15,15
35,0,0,0,0,0,0,3,4,5,5,5,5,5,5,5,5,5
36,0,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2
37,0,0,0,0,0,6,8,15,16,20,21,21,21,21,21,21,21
38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
39,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
40,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
43,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5
44,0,0,0,0,0,0,0,10,10,11,12,12,12,12,12,12,12
45,3,3,3,9,48,54,57,57,57,57,57,57,57,57,57,57,57
46,0,0,0,0,0,0,6,22,23,24,23,23,23,23,23,23,23
47,0,0,0,0,0,0,0,8,10,12,13,13,13,13,13,13,13
48,0,0,0,0,0,0,0,0,1,3,4,5,5,5,5,5,5
49,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
50,2,2,3,3,3,3,2,2,2,2,6,6,6,6,6,6,6
51,0,0,0,0,0,0,0,1,2,2,5,5,5,5,5,5,5
52,0,0,0,0,0,0,4,36,43,44,45,45,45,45,45,45,45
53,0,0,0,0,0,0,0,2,2,4,7,7,8,8,8,8,8
54,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3
55,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4
56,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5
57,0,0,0,0,0,3,5,13,13,13,13,13,13,13,13,13,13
58,0,0,0,0,1,5,9,11,11,12,13,13,13,13,13,13,13
59,0,0,0,0,0,0,3,12,12,13,15,15,15,15,15,15,15
60,0,0,0,0,0,0,0,4,4,6,7,7,7,7,7,7,7
61,0,0,0,0,0,0,4,6,6,7,7,7,7,7,7,7,7
62,0,0,0,0,0,0,0,1,2,2,7,8,8,8,8,8,8
63,0,0,0,0,0,0,5,10,10,14,14,14,14,14,14,14,14
64,0,0,0,0,0,2,5,8,9,10,10,10,10,10,10,10,10
