CaneNo,12-Sep,16-Sep,19-Sep,23-Sep,26-Sep,30-Sep,03-Oct,07-Oct,10-Oct,14-Oct,17-Oct,21-Oct,24-Oct,29-Oct,31-Oct,04-Nov,07-Nov,11-Nov,18-Nov,25-Nov
1001,0,0,0,1,1,1,1,1,1,2,3,4,4,5,5,7,7,7,7,7
1002,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,5
1003,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2
1004,0,0,0,0,0,4,5,8,8,8,8,8,8,8,8,8,8,8,8,8
1005,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,5,5,5,5,5
1006,0,0,0,0,0,0,1,2,2,4,4,6,6,7,7,7,7,7,7,7
1007,0,0,0,0,0,0,1,1,3,4,4,7,7,8,8,9,9,9,9,9
1008,0,0,0,0,0,1,4,7,7,9,9,9,9,9,9,9,9,9,9,10
1009,0,0,0,0,1,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
1010,0,0,0,0,0,0,0,0,2,5,5,5,5,5,6,6,7,7,7,7
1011,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,5,5,5,5
1012,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,5,5,5,5
1013,0,0,0,1,3,5,8,8,9,9,9,9,9,9,9,9,9,9,9,10
1014,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,5,7,7,7,7
1015,0,0,0,0,1,2,3,5,5,5,5,5,5,5,6,6,6,6,8,8
1016,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4
1017,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,6,6,7
1018,0,0,0,0,0,0,0,3,6,6,6,6,6,6,6,6,6,6,6,6
1019,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,4,6,8,8
1020,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,5,5,7,7
1021,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,6,6
1022,0,0,0,0,0,0,0,3,4,6,7,7,7,7,7,7,7,7,8,8
1023,0,0,0,0,0,1,1,3,3,4,4,4,4,5,5,5,5,5,5,5
1024,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,4,5,5,6
1025,0,0,0,0,0,2,3,4,4,6,6,6,6,6,6,6,6,6,7,7
1026,0,0,0,0,0,0,1,2,2,2,3,4,4,5,5,5,5,5,5,8
1027,0,0,0,0,0,4,4,11,12,12,12,12,12,12,12,12,12,12,12,12
1028,0,0,0,0,0,1,3,3,5,7,8,8,9,9,9,9,9,9,9,9
1029,0,0,0,1,1,1,1,1,2,3,3,3,3,3,4,4,4,4,6,6
1030,0,0,0,0,0,1,2,2,4,4,5,6,6,6,6,6,6,6,6,6
1031,0,0,0,0,0,1,2,2,2,2,2,3,3,4,4,4,4,4,6,6
1032,0,0,0,0,0,0,0,1,1,3,5,5,5,5,5,5,5,5,6,6
1033,0,0,0,0,0,1,1,5,6,7,7,7,7,7,7,7,7,7,9,9
1034,0,0,0,0,0,1,1,1,3,3,3,3,5,5,6,8,8,10,10,11
1035,0,0,0,0,0,0,0,1,2,3,3,3,3,6,5,6,6,6,6,6
1036,0,0,0,0,1,2,6,6,6,6,6,6,6,4,6,6,6,6,7,7
1037,0,0,0,0,0,2,2,7,7,8,8,9,9,10,10,10,10,10,10,10
1038,0,0,0,0,0,0,0,0,1,1,2,4,4,4,4,4,5,5,5,5
1039,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3
1040,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4,5,6,6,7,7
1041,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,3,4,6
1042,0,0,0,0,0,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7
1043,0,0,0,0,0,0,0,0,1,3,3,3,4,4,4,4,4,4,7,7
1044,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,3,4
1045,0,0,0,0,0,0,0,0,3,5,5,6,6,6,6,6,6,6,6,6
1046,0,0,0,0,0,0,0,0,0,0,1,2,4,7,7,7,7,7,7,7
1047,0,0,0,0,0,0,0,1,1,3,3,3,3,4,4,5,5,5,6,6
1048,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,4,4,6,7
1049,0,0,0,0,0,1,1,1,1,3,3,4,4,5,5,5,6,6,6,6
1050,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,5,6,6,6,7
1051,0,0,0,0,1,1,1,2,2,2,2,2,2,3,4,5,5,5,5,6
1052,0,0,0,0,0,0,0,0,0,6,6,7,7,7,7,7,7,7,7,7
1053,0,0,0,0,0,0,0,0,0,2,2,3,5,6,6,6,6,6,6,6
1054,0,0,0,0,0,1,1,3,3,3,3,4,4,4,4,4,5,5,5,6
1055,0,0,0,0,0,0,0,2,5,7,7,8,8,8,8,8,8,8,8,9
1056,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4
1057,0,0,0,1,1,1,1,1,1,1,2,2,3,6,6,6,7,7,7,8
1058,0,0,0,0,3,8,9,10,10,10,10,10,10,10,10,10,10,10,11,12
1059,0,0,0,0,0,0,0,1,1,1,1,1,3,4,4,4,5,5,5,5
1060,0,0,0,0,0,0,0,1,1,3,5,5,5,6,6,6,6,6,6,6
1061,0,0,1,1,1,1,2,4,4,5,5,5,5,5,5,5,5,5,7,7
1062,0,0,0,0,0,1,1,1,1,1,1,3,4,5,5,5,5,5,8,8
1063,0,0,0,0,0,0,1,2,5,11,11,11,11,11,11,11,11,11,11,11
1064,0,0,0,0,0,0,1,3,4,4,4,5,5,6,6,6,6,6,6,6
1065,0,0,0,0,0,0,0,0,0,1,2,2,4,6,6,6,6,6,6,6
1066,0,0,0,0,0,0,0,0,0,1,1,4,5,6,6,6,7,7,7,7
1067,0,0,0,0,0,0,0,2,5,8,8,10,11,11,11,11,11,11,11,11
1068,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,7,7
1069,0,0,0,0,3,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1070,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,2,2,2,6,6
1071,0,0,0,0,0,0,0,4,6,9,9,9,9,9,9,9,9,9,9,9
1072,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4,6,6,6,8,8
1073,0,0,0,0,0,0,0,0,0,1,2,3,4,5,5,5,8,8,10,10
1074,0,0,0,0,0,0,0,4,5,7,7,7,7,8,9,9,9,9,9,9
1075,0,0,0,1,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,6
1076,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3
1077,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3
1078,0,0,0,0,0,1,2,5,6,7,8,8,8,8,8,8,8,8,8,8
1079,0,0,0,0,1,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7
1080,0,0,0,0,0,0,1,3,4,6,7,7,8,8,8,8,8,8,8,8
1081,0,0,0,0,1,1,1,2,2,2,3,6,6,6,6,7,7,7,7,7
1082,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,5,5,5
1083,0,0,0,0,0,0,0,1,1,2,3,5,6,7,7,7,7,7,7,7
1084,0,0,1,1,1,1,1,2,2,5,6,8,8,9,9,10,10,11,11,11
1085,0,0,1,1,1,1,1,1,1,1,1,1,1,1,6,7,8,8,8,9
1086,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,5,6,6
1087,0,0,0,0,0,1,1,3,3,4,4,4,4,4,4,4,4,4,6,7
1088,0,0,0,0,1,1,1,1,1,4,4,5,6,6,6,6,6,6,8,9
