Cane,11-Nov,13-Nov,15-Nov,18-Nov,20-Nov,22-Nov,25-Nov,27-Nov,29-Nov,02-Dec,06-Dec,09-Dec
1001,0,0,4,5,5,5,8,10,10,10,10,10
1002,0,0,0,0,1,1,6,6,6,6,6,6
1003,0,0,0,0,3,6,6,6,6,6,6,6
1004,0,0,0,0,4,8,9,9,9,9,9,9
1005,0,0,0,0,0,0,4,4,4,4,4,4
1006,0,0,0,0,0,0,7,8,8,15,15,15
1007,0,0,0,0,0,0,5,11,18,18,18,18
1008,0,0,0,1,2,3,27,28,31,31,31,31
1009,0,0,0,12,26,38,38,38,38,38,38,38
1010,0,0,0,0,0,0,0,10,17,17,17,17
1011,0,0,0,0,0,0,0,0,0,0,0,0
1012,0,0,0,0,0,1,6,12,12,13,13,13
1013,0,0,0,9,13,14,19,19,20,20,20,20
1014,0,0,5,5,5,5,5,5,5,5,5,5
1015,0,0,1,5,9,18,18,18,18,18,18,18
1016,0,0,0,0,0,3,6,7,9,9,9,9
1017,0,0,0,0,0,0,0,0,5,5,8,8
1018,0,0,0,0,0,0,6,16,18,18,18,18
1019,0,0,0,0,3,5,5,5,5,5,5,5
1020,0,0,0,0,0,3,4,7,10,10,13,13
1021,0,0,0,0,0,0,0,0,0,0,0,0
1022,0,0,0,0,0,0,0,5,7,7,7,7
1023,0,0,0,1,5,6,12,12,12,12,12,12
1024,0,0,0,0,0,0,0,0,0,0,0,0
1025,0,0,0,0,3,3,6,8,8,8,8,8
1026,0,0,0,0,3,6,12,18,18,18,18,18
1027,0,0,0,8,19,28,45,48,48,48,48,48
1028,0,0,0,2,4,5,16,23,31,31,31,31
1029,0,1,3,4,2,2,2,9,13,13,13,13
1030,0,0,0,2,7,10,18,18,18,18,18,18
1031,0,0,0,5,5,5,6,6,6,6,6,6
1032,0,0,0,0,0,1,5,7,9,9,9,9
1033,0,0,0,0,6,6,21,28,34,34,34,34
1034,0,0,0,0,6,6,7,12,12,12,16,16
1035,0,0,0,0,0,0,4,4,7,7,7,7
1036,0,0,0,0,7,16,21,21,21,21,21,21
1037,0,0,0,2,9,19,28,34,34,34,34,35
1038,0,0,0,0,0,0,0,0,6,6,7,7
1039,0,0,0,0,0,0,2,2,4,4,4,4
1040,0,0,4,5,6,6,6,6,6,6,6,6
1041,0,0,0,0,0,1,4,4,4,4,4,4
1042,0,0,0,3,19,24,26,26,26,26,26,26
1043,0,0,0,0,0,0,0,6,9,9,9,9
1044,0,0,0,0,0,0,0,4,8,8,8,8
1045,0,0,0,0,0,0,4,19,20,20,20,20
1046,0,0,0,0,0,0,0,0,0,3,5,5
1047,0,0,0,0,0,0,0,4,9,11,11,11
1048,0,0,0,4,6,6,6,6,6,6,6,6
1049,0,0,0,1,5,5,7,10,14,14,14,14
1050,0,0,0,0,0,0,0,0,0,0,0,0
1051,0,0,1,3,3,3,7,9,7,7,7,7
1052,0,0,0,0,0,0,0,2,3,3,3,3
1053,0,0,0,0,0,0,0,0,0,0,0,0
1054,0,0,0,0,0,0,0,0,0,0,0,0
1055,0,0,0,0,1,1,22,24,24,24,24,24
1056,0,0,0,0,1,5,4,5,5,5,5,5
1057,0,0,2,2,2,2,2,2,2,2,2,2
1058,0,0,0,30,32,32,32,32,32,32,32,32
1059,0,0,0,0,0,0,3,3,3,3,3,3
1060,0,0,0,0,0,0,2,13,15,15,15,15
1061,0,1,4,5,5,5,5,5,5,5,5,5
1062,0,0,0,4,4,4,4,4,4,4,4,4
1063,0,0,0,0,0,1,5,7,12,12,12,12
1064,0,0,0,0,0,2,11,18,19,19,19,19
1065,0,0,0,0,0,0,0,0,0,0,0,0
1066,0,0,0,0,0,0,0,0,0,0,0,0
1067,0,0,0,0,0,0,2,8,15,15,15,15
1068,0,0,0,0,0,0,0,0,0,0,0,0
1069,0,0,0,5,7,7,7,7,7,7,7,7
1070,0,0,0,2,3,3,5,5,5,5,5,5
1071,0,0,0,0,0,0,11,11,11,11,11,11
1072,0,0,0,3,7,7,7,7,7,7,7,7
1073,0,0,0,0,0,0,0,0,1,6,6,6
1074,0,0,0,0,0,0,16,19,19,19,19,19
1075,0,0,4,6,8,10,15,15,15,15,15,15
1076,0,0,0,5,6,7,7,7,7,7,7,7
1077,0,0,0,1,4,5,6,6,6,6,6,6
1078,0,0,0,0,0,5,14,19,20,20,20,20
1079,0,0,0,9,10,15,20,22,22,22,22,22
1080,0,0,0,4,0,1,11,16,16,17,17,17
1081,0,0,0,0,5,5,9,9,13,13,15,15
1082,0,0,0,0,0,0,0,4,10,14,14,14
1083,0,0,0,0,0,0,2,2,2,2,2,2
1084,0,0,0,0,0,0,3,13,13,13,13,13
1085,0,0,0,0,0,0,0,0,0,0,0,0
1086,0,0,0,0,1,1,2,2,2,2,2,2
1087,0,0,2,6,6,6,6,6,6,6,6,6
1088,0,0,0,3,3,3,4,5,7,7,7,7
1089,0,0,0,1,2,3,4,7,10,15,15,15
1090,0,0,0,0,0,0,0,0,0,0,0,0
1091,0,0,0,0,1,5,13,13,13,13,13,13
1092,0,0,0,1,5,11,16,16,16,16,16,16
1093,0,0,0,1,1,1,1,1,1,1,1,1
1094,0,0,0,0,0,3,5,5,5,5,5,5
1095,0,0,0,0,0,0,0,0,0,0,0,0
1096,0,0,0,0,0,0,7,7,7,7,7,7
1097,0,0,0,0,0,0,3,3,3,3,3,3
1098,0,0,0,0,0,0,0,4,4,4,4,4
1099,0,0,1,3,3,3,3,3,3,3,3,3
1100,0,0,0,0,0,0,1,13,13,13,13,13
1101,0,0,0,0,0,0,0,0,0,0,0,0
1102,0,0,0,0,2,5,7,7,7,7,7,7
1103,0,0,0,0,0,1,1,1,1,1,1,1
1104,0,0,0,0,0,0,4,19,19,19,19,19
1105,0,0,0,0,2,6,18,18,18,18,18,18
1106,0,0,0,0,0,0,1,3,10,24,24,24
1107,0,0,0,1,17,41,59,59,59,59,59,59
1108,0,0,0,0,0,0,0,5,20,25,31,31
1109,0,0,0,5,9,13,17,17,17,17,17,17
1110,0,0,0,2,5,5,6,6,6,8,12,12
1111,1,1,1,1,1,1,1,1,1,1,1,1
1112,0,0,0,6,16,16,24,24,24,24,24,24
1113,0,0,0,0,0,4,7,9,11,11,13,13
1114,0,0,0,0,0,2,3,3,3,3,3,3
1115,0,0,0,0,0,0,0,0,0,0,0,0
1116,0,0,0,1,3,3,3,3,3,3,3,3
1117,0,0,0,0,0,0,2,5,9,10,11,11
1118,0,0,0,0,6,6,6,6,6,6,6,6
1119,0,0,0,16,20,20,21,21,21,21,21,21
1120,0,0,0,0,8,17,25,25,25,25,25,25
1121,0,0,0,0,0,0,0,9,20,21,21,21
1122,0,0,0,0,0,0,0,0,0,0,0,0
1123,0,0,0,0,0,0,0,0,0,0,0,0
1124,0,0,2,4,4,4,6,6,6,6,6,6
1125,0,0,0,0,0,0,3,4,9,10,14,14
1126,0,0,1,5,5,5,6,11,11,11,11,11
1127,0,0,0,0,0,0,7,10,10,10,10,10
1128,0,0,0,0,0,0,3,11,11,11,11,11
1129,0,0,0,7,7,7,7,7,7,7,7,7
1130,0,0,0,0,0,0,0,6,6,6,6,6
1131,0,0,0,0,0,0,5,9,17,17,20,20
1132,0,0,0,4,4,4,4,4,4,4,4,4
1133,0,0,0,27,30,34,34,34,34,34,34,34
1134,0,0,0,0,1,1,16,26,29,29,29,29
1135,0,0,0,0,0,0,0,0,0,0,0,0
1136,0,0,0,0,0,0,8,9,12,12,12,12
1137,0,0,0,0,0,0,0,0,0,0,0,0
1138,0,0,0,0,0,0,2,8,13,13,13,13
1139,0,0,0,0,0,0,0,1,10,17,20,1
1140,0,0,0,0,0,0,0,0,0,0,0,0
1141,0,0,0,0,3,6,7,7,13,14,14,14
1142,0,0,0,0,0,0,0,4,9,11,11,11
1143,0,0,0,0,0,0,4,7,7,7,7,7
1144,0,0,0,0,0,0,0,0,0,0,0,0
1145,0,0,0,0,0,0,0,3,12,15,17,17
1146,0,0,0,0,0,0,0,12,18,21,21,21
1147,0,0,0,0,0,0,3,3,3,3,3,3
1148,0,0,0,0,0,0,2,5,6,6,6,6
1149,0,0,0,0,0,0,1,6,9,9,9,9
1150,0,0,0,14,21,23,23,23,23,23,23,23
1151,0,0,0,0,2,4,5,6,6,6,6,6
1152,0,0,0,0,0,6,26,28,28,28,28,28
1153,0,0,0,0,0,4,5,5,5,5,6,7
1154,0,0,0,0,0,1,6,6,10,10,10,11
1155,0,0,0,0,0,0,11,23,29,29,29,29
1156,0,0,0,0,0,0,2,2,4,4,4,4
1157,0,0,0,0,0,0,0,0,0,0,0,0
1158,0,0,0,0,0,0,0,2,8,8,8,8
1159,0,0,1,4,6,6,7,7,7,7,7,7
1160,0,0,1,6,6,6,6,6,6,6,6,6
1161,0,0,0,1,9,9,19,19,19,19,19,19
1162,0,0,0,0,2,5,13,16,16,16,16,16
1163,0,0,0,0,0,0,0,0,0,0,0,0
1164,0,0,0,0,5,14,25,27,28,28,28,28
1165,0,0,0,0,0,0,0,5,16,16,16,16
1166,0,0,0,19,28,28,28,28,28,28,28,28
1167,0,0,0,0,1,11,12,12,12,12,12,12
1168,0,0,0,5,5,5,5,5,5,5,5,5
1169,0,0,5,6,6,6,6,6,6,6,6,6
1170,0,0,0,0,0,1,8,11,13,13,13,13
1171,0,0,0,0,0,0,0,0,0,0,0,0
1172,0,1,4,5,6,6,6,6,6,6,6,6
1173,0,0,0,3,3,3,3,3,3,3,3,3
1174,0,0,1,8,8,8,8,8,8,8,8,8
1175,0,0,0,4,7,12,13,13,13,13,13,13
1176,0,0,0,7,7,7,7,7,7,7,7,7
1177,0,0,0,13,16,16,16,16,16,16,16,16
1178,0,0,0,0,0,0,0,0,0,0,0,0
1179,0,0,0,0,0,1,5,5,5,5,5,5
1180,0,0,1,4,4,5,5,5,5,5,5,5
1181,0,0,0,0,0,0,5,5,5,5,5,5
1182,0,0,0,8,18,25,24,24,24,24,24,24
1183,0,0,0,0,0,0,3,3,3,3,3,3
1184,0,0,0,0,0,0,1,8,12,12,14,14
1185,0,0,0,2,5,5,5,5,5,5,5,5
1186,0,0,0,0,0,0,9,21,21,21,21,21
1187,0,0,1,5,5,5,7,8,8,8,8,8
1188,0,0,0,0,0,1,1,1,1,1,1,1
1189,0,0,1,4,4,4,4,4,4,4,4,4
1190,0,0,0,0,0,0,0,0,0,0,0,0
1191,0,0,0,0,0,0,4,4,4,4,4,4
1192,0,0,0,0,5,5,6,6,6,6,6,6
1193,0,0,0,10,13,17,17,17,17,17,17,17
1194,0,0,0,0,0,0,4,8,10,12,12,12
1195,0,0,0,0,0,0,0,0,0,0,0,0
1196,0,0,0,5,5,5,5,5,5,5,5,5
1197,0,0,0,0,0,0,3,16,23,23,23,23
1198,0,0,0,0,0,0,5,9,13,16,16,16
1199,0,0,0,5,5,6,6,6,6,6,6,6
1200,0,0,0,0,0,0,0,0,0,0,0,0
1201,0,0,0,0,10,18,20,20,20,20,20,20
1202,0,0,0,4,8,8,12,16,18,18,18,18
1203,0,0,0,0,0,0,4,7,7,7,7,7
1204,0,0,0,0,0,0,0,1,4,11,15,15
1205,0,0,0,0,0,4,6,9,9,9,9,9
1206,0,0,0,0,0,1,1,7,7,7,7,7
1207,0,0,0,0,0,0,0,1,6,6,10,10
1208,0,0,0,0,0,0,0,0,1,9,19,19
1209,0,0,0,0,0,0,1,5,13,18,18,18
1210,0,0,0,0,0,0,1,1,1,1,1,1
1211,0,0,0,0,0,0,0,4,4,4,4,4
1212,0,0,0,0,0,0,0,0,0,0,0,0
1213,0,0,0,4,5,5,6,6,6,6,6,6
1214,0,0,0,1,4,5,6,8,11,11,11,11
1215,0,0,1,3,3,3,3,3,3,3,3,3
1216,0,0,0,1,8,19,31,32,32,32,32,32
1217,0,0,0,5,5,5,19,22,22,22,22,22
1218,0,0,0,0,0,0,0,0,0,0,0,0
1219,0,0,0,0,0,0,0,7,7,7,7,7
1220,0,0,0,2,6,9,11,11,11,11,11,11
1221,0,0,0,0,0,0,5,6,6,6,6,6
1222,0,0,0,11,11,12,13,13,13,13,13,13
1223,0,0,0,0,0,4,13,14,14,18,18,18
1224,0,0,0,0,0,0,7,8,8,9,10,10
1225,0,0,0,0,1,6,13,13,13,13,13,13
1226,0,0,0,0,0,0,0,0,8,12,14,14
1227,0,0,0,0,0,0,6,7,7,7,7,7
1228,0,0,0,0,0,5,5,7,7,9,9,9
1229,0,0,0,0,0,0,0,0,6,6,6,6
1230,0,0,0,0,0,0,0,0,0,1,2,2
1231,0,0,0,0,0,0,5,5,5,5,5,5
1232,0,0,0,0,0,0,0,0,0,1,5,5
1233,0,0,0,0,0,0,0,0,4,5,5,5
1234,0,0,0,0,2,4,5,5,5,5,5,5
1235,0,0,0,0,0,0,5,5,5,5,5,5
1236,0,0,0,0,0,0,0,0,0,0,0,0
1237,0,0,0,0,3,3,0,0,0,0,0,0
1238,0,0,0,0,0,0,0,0,0,0,0,0
1239,0,0,0,0,0,3,10,10,10,14,14,14
1240,0,0,0,0,0,0,0,0,17,23,23,23
1241,0,0,0,0,2,2,6,6,6,6,6,6
1242,0,0,0,0,0,0,0,0,5,5,5,5
1243,0,0,0,0,0,0,11,11,11,13,13,13
1244,0,0,0,0,0,0,0,2,7,7,7,7
1245,0,0,0,0,0,0,0,1,1,1,1,1
1246,0,0,0,0,0,0,0,2,2,2,2,2
1247,0,0,0,7,10,13,13,13,13,13,13,13
1248,0,0,0,4,6,6,6,6,6,6,6,6
1249,0,0,0,0,9,10,40,40,40,40,40,40
1250,0,0,0,0,0,1,10,18,27,27,27,27
1251,0,0,0,0,4,9,19,23,23,23,23,23
1252,0,0,0,0,0,0,1,7,7,18,18,18
1253,0,0,0,1,6,6,9,16,16,16,16,16
1254,0,0,0,16,25,25,22,22,22,22,22,22
1255,0,0,0,0,0,0,0,0,2,11,14,14
1256,0,0,0,0,0,0,0,0,0,0,0,0
1257,0,0,0,0,2,4,3,3,3,3,3,3
1258,0,0,0,0,0,0,9,12,12,12,15,15
1259,0,0,0,0,0,0,0,1,4,16,21,21
1260,0,0,0,4,5,6,22,28,28,28,28,28
1261,0,0,0,0,2,6,7,7,8,10,13,13
1262,0,0,0,0,0,0,0,0,0,0,0,0
1263,0,0,0,0,1,7,44,44,44,44,44,44
1264,0,0,0,0,0,0,5,19,32,32,32,32
1265,0,0,0,8,20,26,30,30,30,30,30,30
1266,0,0,0,4,3,4,2,2,2,2,2,2
1267,0,0,0,0,0,0,6,6,6,6,6,6
1268,0,0,0,0,0,0,7,7,7,7,7,7
1269,0,0,0,0,3,9,15,15,15,15,15,15
1270,0,0,0,0,0,0,0,0,3,3,3,3
1271,0,0,0,8,10,10,13,13,13,13,13,13
1272,0,0,0,0,0,0,0,0,0,0,0,0
1273,0,0,0,0,0,2,3,3,3,3,3,3
1274,0,0,0,0,0,0,1,6,9,14,17,17
1275,0,0,0,0,0,5,8,8,11,11,13,13
1276,0,0,0,0,0,0,0,0,0,0,0,0
1277,0,0,0,0,4,14,34,39,42,42,42,42
1278,0,0,0,1,0,0,0,2,12,12,12,12
1279,0,0,0,1,4,6,7,7,10,10,10,10
1280,0,0,0,0,0,0,1,5,6,6,6,6
1281,0,0,0,0,0,1,5,5,8,9,9,9
1282,0,0,0,6,7,7,5,5,5,5,5,5
1283,0,0,0,0,0,0,3,3,6,6,6,6
1284,0,0,0,0,0,0,0,0,2,2,2,2
1285,0,0,0,0,13,26,27,27,27,27,27,27
1286,0,0,0,3,3,3,3,3,3,3,3,3
1287,0,0,0,0,0,0,4,4,4,4,4,4
1288,0,0,0,0,0,2,2,2,4,5,5,5
1289,0,0,0,0,3,5,6,6,6,6,6,6
1290,0,0,0,0,0,3,6,6,6,6,6,6
1291,0,0,0,0,0,0,15,16,16,16,16,16
1292,0,0,0,6,6,6,9,17,17,17,17,17
1293,0,0,0,9,16,16,16,16,16,16,16,16
1294,0,0,0,0,0,0,0,0,0,0,0,0
1295,0,0,0,1,3,3,4,4,4,4,4,4
1296,0,0,0,1,3,4,9,9,9,9,9,9
1297,0,0,0,1,1,1,1,1,1,1,1,1
1298,0,0,0,0,0,0,0,1,5,10,14,14
1299,0,0,0,0,0,6,11,11,11,11,11,11
1300,0,0,0,0,7,7,0,0,0,0,0,0
1301,0,0,0,0,7,7,9,10,10,10,10,10
1302,0,0,0,0,0,0,2,7,7,7,7,7
1303,0,0,0,0,0,0,0,0,0,0,0,0
1304,0,0,0,0,0,0,1,1,1,1,1,1
1305,0,0,0,0,0,0,4,4,4,4,4,4
1306,0,0,2,7,12,13,13,13,13,13,13,13
1307,0,0,0,6,9,12,13,13,13,13,13,13
1308,0,0,0,0,3,3,4,4,4,4,4,4
1309,0,0,0,11,17,19,26,26,26,26,26,26
1310,0,0,0,0,0,0,7,10,12,12,12,12
1311,0,0,0,0,0,0,13,16,25,25,25,25
1312,0,0,0,0,3,3,19,23,30,30,30,30
1313,0,0,0,0,0,0,0,0,0,0,0,0
1314,0,0,0,1,1,6,6,6,6,6,6,6
1315,0,0,0,0,0,0,0,8,21,26,26,26
1316,0,0,0,0,0,0,6,6,6,6,6,6
1317,0,0,0,4,5,9,18,18,18,18,18,18
1318,0,0,0,0,1,3,4,4,4,4,4,4
1319,0,0,0,0,0,0,0,0,0,0,0,0
1320,0,0,0,4,4,4,7,7,7,7,7,7
1321,0,0,0,4,9,17,19,19,19,19,19,19
1322,0,0,0,5,6,7,9,9,9,9,9,9
1323,0,0,1,3,3,3,3,3,3,3,3,3
1324,0,0,0,0,0,0,0,0,0,0,0,0
1325,0,0,0,0,0,0,0,0,0,0,0,0
1326,0,0,0,1,2,3,5,5,5,5,5,5
1327,0,0,0,1,4,4,5,5,8,8,8,8
1328,0,0,0,2,5,6,7,20,23,23,23,23
1329,0,0,0,1,1,1,2,5,5,6,6,6
1330,0,0,0,4,6,6,7,7,7,7,7,7
1331,0,0,0,0,0,3,5,5,9,9,9,9
1332,0,0,0,2,4,6,20,20,20,20,20,20
1333,0,0,0,1,1,1,1,1,1,1,1,1
1334,0,0,0,0,4,9,12,12,12,12,12,12
1335,0,0,0,0,13,16,23,23,23,23,23,23
1336,0,0,1,6,7,9,10,10,10,10,10,10
1337,0,0,1,8,10,10,10,10,10,10,10,10
1338,0,0,0,0,0,1,3,4,4,11,11,11
1339,0,0,0,1,1,1,1,1,1,1,1,1
1340,0,0,0,3,3,3,3,3,3,3,3,3
1341,0,0,0,0,0,0,2,2,2,2,2,2
1342,0,0,0,0,0,0,0,0,0,0,0,0
1343,0,0,0,0,0,0,7,7,7,7,7,7
1344,0,0,0,0,0,0,0,0,0,0,0,0
1345,0,0,0,0,0,0,2,2,2,2,2,2
1346,0,0,0,0,0,0,8,8,8,8,8,8
1347,0,0,0,0,0,0,1,3,12,12,12,12
1348,0,0,0,0,0,0,2,3,6,7,11,11
1349,0,0,0,1,6,12,12,12,12,12,12,12
1350,0,0,0,0,0,0,2,2,5,5,5,5
1351,0,0,0,0,0,0,1,1,1,1,1,1
1352,0,0,0,2,3,3,3,3,3,3,3,3
