Cane,Trt,Data
1,12,4..0.1.4..1.30......0...31........l1
2,6,13.21.24240..2.0.00.0..0.0......l0
3,11,6..............0.02.0.00....l6
4,18,50.1..02.0..0....0..0........l0
5,2,3423.3.....1..3.45.2.......l12
6,3,033014115121.401525..l9
7,7,4.......0.001.0....10.0.00.l0
8,8,500...0.01.10.00.....2.0.10.02.0....l0
9,17,500..0.01.10.00.....2.0.10.03.0..l0
10,11,.00.0.....0...00.0....0001.0.l0
11,10,0................1.0.00.0....l0
12,18,4.....0....00.0.00.0.00.0..l0
13,13,003.....0.0.00.3.0.0.....l0
14,14,2....6.........0.0..1....0....l7
15,9,50.03.010..0......1.00.....l0
16,3,..31402306203.4300040.31.4.43..l7
17,5,
18,7,20..0...30.00.0.00....0.0..0..l0
19,1,0020....0.00.0.00.0.00...l0
20,7,2.10..0...010..00.0.......l0
21,2,63.......2.......3..12...l3
22,15,01...0000.00....00...0.0.l0
23,4,4425.2212....433..0.41.3.....l3
24,18,31402.1..0.00.0.00.0..0l0
25,9,0223......0....0.0.....0...l0
26,16,244....50..0.0..0.000.101.10....l0
27,11,14.......0..0.1....0..00000.l1
28,14,4.....5..4.......40.0...00.l12
29,5,3..00.2..0.00.00.0..0.0.0...l0
30,10,2001....0.00...00.0..0.0.l0
31,4,30.1003.1143..424215.3044.4.0...l2
32,14,2.033..0...1..1......010.0.0...0.0l0
33,9,613.......02.0.20.0..0..0.0.0l2
34,17,4..3..1...0.......34......l0
35,7,3.1.............0....00.0.10.......l2
36,1,10..0.........0....0.01.0l0
37,15,53.........2.6.03.0.0..0.0..03.....l3
38,10,01.......0.0.00.0..........l0
39,7,1...........0..0.0........l0
40,16,100.0.0000.2.0......0.....l0
41,8,3........00.00.000....l0
42,11,200.1.....1.....0.0..0......l0
43,18,5............0.0.00...0....l0
44,12,11..4..04..1...2.....0..l0
45,2,434..3.44.4.....546.33.4324..l7
46,15,14513.3.3....20.0.00.2........l0
47,16,333...3....1.......0....l0
48,9,11...0..21.1.00....0.11.0.0...l0
49,5,01....0..0.00.0..0.......0.00.l0
50,1,30..1....0..0...00.0000400.....l3
51,1,2.0.3.....0.0.00.11......l0
52,3,21..2...245.6144.4124014.....l4
53,11,2.0.03..1.1.1.....0.0....l0
54,6,3...0........0.0000.0.0.00.0.l0
55,13,..4.......00.0..........l0
56,7,0...0....1...01.1.....1.0.....00.01.0.l0
57,17,41.00.00....1....1.3.....0.4.000....l0
58,14,21.0.54...........0..0.0..1....1.0..l0
59,15,52...1....0.02....2.......0.0.21...l0
60,7,4.3.......0....00.0.0...l0
61,13,34........00...0..0..0...l0
62,6,2.2.1.0...3.........00.00...l0
