,coy,Treatment
1,",2643.430545737725l27",Budup 1% + AB 2%                        M
2,",254.33563352535553.l19",Budup 2% + AB 2%                         L
3,",5564626617644055l16",2% AB                                                M
4,",36814544.3511.2020l14",Budup 6% + AB 2%                         L
5,",55254.52475637110660l36",3% HiCane                                        L
6,",676566296666866777l38",Budup 4% + AB 2%                        M
7,",13336.2422010002012034324l14",Budup 1% + AB 2%                       VL
8,",1.100.02106.55367l13",3% HiCane                                      VL
9,",465366.434635525.l20",Budup 2% + AB 2%                        M
10,",4456.45.7.55665.6645..l79",Budup 4% + AB 2%                        E
11,",644.41344.57.41.777.l42",Budup 2% + AB 2%                        E
12,",755765665767669778l66",Budup 6% + AB 2%                        M
13,",6788.9887.87682846869l118",Untreated control
14,",11211101014..300011.3142l5",Budup 6% + AB 2%                       VL
15,",53322112224000314461l21",3% HiCane + 0.2% Driftstop E         
16,",8144760424172.64l18",Budup Lonza 4% + AB 2%           M
17,",.10.400314002015l2",Budup 4% + AB 2%                       VL
18,",67.67786727.77.7l92",Untreated control
19,",4655.5.67.5155.6655.4866.85.l31",Budup 1% + AB 2%                         L
20,",487878.774767444777ll90",Budup 6% + AB 2%                        E
21,",3365144065.63.2102.l27",3% HiCane                                       M
22,",242434155765.66.l18",Budup 1% + AB 2%                        E
23,",224636456664567566l34",Budup 4% + AB 2%                         L
24,",.000301000000004l0",Budup 2% + AB 2%                       VL
25,",540343145324244674l12",Budup 6% + AB 2%                         L
26,",025546140444605655l28",3% HiCane                                        L
27,",200244113.14040300243l3",Budup 2% + AB 2%                       VL
28,",645646.5.4755377l21",Budup 1% + AB 2%                        M
29,",3664525046260751l8",Budup 1% + AB 2%                         L
30,",0.1.30313056.l1",3% HiCane                                      VL
31,",44255136.46663256146l59",Budup 2% + AB 2%                        E
32,",433523125243205l5",3% HiCane                                       M
33,",31745.66.5557.77.5.55l65",Budup 1% + AB 2%                        E
34,",455434344.6536564.553622515l9",Budup 6% + AB 2%                        M
35,",1664.6345136455406546562l9",Budup 4% + AB 2%                         L
36,",..3.0.4..01.3.010011l0",Budup 4% + AB 2%                       VL
37,",3..365.1.4256661251.56l46",Budup Lonza 4% + AB 2%           M
38,",5200000112210002016432l12",Budup 1% + AB 2%                       VL
39,",76.8688.6728838866.87l100",Untreated control
40,",522323334134354321l6",3% HiCane + 0.2% Driftstop E         
41,",4440.55.65.4..5355.l39",Budup 4% + AB 2%                        E
42,",454556556.75647l52",Budup 6% + AB 2%                        E
43,",455665561..3.67.72.35l11",Budup 2% + AB 2%                        M
44,",.54546455144551055l1",2% AB                                                M
45,",7799.9978.8899.7897l150",Untreated control
46,",1555466340654766.56l42",Budup 4% + AB 2%                        M
47,",..30..031110000l0",Budup 6% + AB 2%                       VL
48,",747.1737546.876517667l67",Budup 2% + AB 2%                         L
49,",000.0.1020410313l0",Budup 1% + AB 2%                       VL
50,",655774.65764.68487.l61",Budup 2% + AB 2%                        E
