Cane ID,22-Aug,26-Aug,30-Aug,3-Sep,6-Sep,10-Sep,13-Sep,17-Sep,20-Sep,
1,,,3,11,12,13,16,x,,
2,,,,10,11,12,14,17,x,
3,,,1,10,13,14,16,x,,
4,,,,3,10,11,13,16,x,
5,,,2,10,12,14,16,20,x,
6,,,,7,11,14,16,17,x,
7,,,,2,8,15,17,21,23,x
8,,,,0,4,6,6,12,14,x
9,,,,3,10,10,13,15,x,
10,,,,13,14,15,16,x,,
11,,,,9,14,14,15,x,,
12,,,,10,14,17,18,x,,
13,,2,5,12,15,17,17,18,x,
14,,,,0,2,12,15,23,x,
15,,2,8,17,20,,,,,
16,,,1,7,8,13,14,x,,
17,,,,0,1,7,13,15,x,
18,1,2,9,12,12,12,12,14,x,
19,,,,7,15,19,19,20,x,
20,,,7,16,18,x,,,,
21,,,,10,10,13,15,x,,
22,1,4,10,13,14,x,,,,
23,,,,9,14,14,17,18,x,
24,,,,2,4,8,12,14,14,x
25,,,,10,13,14,16,18,x,
26,,,,12,14,14,15,18,x,
27,,,,1,6,11,13,18,20,x
28,,,1,9,9,11,14,x,,
29,,1,2,11,11,12,14,16,x,
30,,,,0,5,5,5,8,8,x
31,,,,13,18,19,19,x,,
32,,,,8,15,15,15,x,,
33,,,,15,15,15,16,x,,
34,,,,9,20,21,x,,,
35,,,,11,18,22,x,,,
36,,,,0,0,7,7,11,12,x
37,,,,3,8,16,17,18,x,
38,,,,5,9,17,20,22,x,
39,,,4,15,16,16,x,,,
40,,5,15,18,18,x,,,,
41,,,7,13,13,13,x,,,
42,,,2,13,14,x,,,,
43,,,,11,12,15,16,x,,
44,,,,8,11,14,14,17,x,
45,,,4,16,16,x,,,,
46,,,,6,11,15,15,17,19,x
47,,,,0,0,5,7,10,11,x
48,,,,5,13,16,16,19,x,
49,,,,5,10,12,12,15,x,
50,,,3,13,14,15,x,,,
51,,,,11,15,21,23,x,,
52,,,,13,15,16,18,x,,
53,,,,5,10,11,14,15,16,x
54,,,,7,10,13,14,x,,
55,,,,7,15,19,22,x,,
56,,,,3,17,19,22,x,,
