CaneID,14-Oct,17-Oct,21-Oct,,24-Oct,,29-Oct
1,,,5,,19,11,
2,,,0,,10,15,
3,,,3,,15,24,
4,,,0,,8,17,
5,,,8,,32,2,
6,,,0,,27,27,
7,,,5,,18,10,
8,,,0,,7,11,
9,,,1,,13,18,
10,,,32,,48,x,
11,,,18,,36,5,
12,,,20,,34,3,
13,4,26,51,1,52,x,
14,,,5,12,8,9,
15,,,20,11,27,4,
16,,,4,,18,17,
17,,,0,,0,,15
18,,14,50,x,,,
19,,,8,,42,11,
20,,,41,13,54,x,
21,,,9,,21,11,
22,,,31,9,38,2,
23,,,6,,18,21,
24,,,0,8,2,6,
25,,,14,,29,5,
26,,,27,11,36,2,
27,,,1,,6,,28
28,,,13,,28,3,
29,,,19,,33,4,
30,,,1,,4,9,
31,,,35,15,50,x,
32,,,1,,16,10,
33,,,34,,51,x,
34,,,9,,44,9,
35,,,23,,33,3,
36,,,0,,2,,7
37,,,3,,16,13,
38,,2,6,,15,6,
39,,17,53,2,55,x,
40,,3,44,4,48,x,
41,1,28,41,x,,,
42,,6,59,1,60,x,
43,,,29,12,39,2,
44,,,10,,35,14,
45,,16,53,5,58,x,
46,,,20,,32,5,
47,,,0,,0,,
48,,,20,,35,4,
49,,,7,5,11,1,
50,,,39,5,44,x,
51,,,11,,27,20,
52,,,27,14,41,x,
53,,,6,,22,9,
54,,,7,,33,9,
55,,,21,,40,14,
56,,,3,,36,22,
57,,,0,,7,9,
58,,,15,,30,4,
59,,,0,,1,,8
60,1,16,54,3,57,x,
61,,,23,,37,3,
62,,7,35,x,,,
63,,,1,,35,16,
64,,18,45,x,,,
65,,7,25,12,33,4,
66,,,0,,13,24,
67,,6,36,,57,5,
68,,,46,4,50,x,
69,,3,60,5,65,x,
70,,,18,,27,9,
71,,,16,,25,4,
72,,,3,2,3,2,
73,,,0,,1,,12
74,,,1,,12,19,
75,,3,66,15,79,2,
76,,,0,,9,,62
77,,,0,,3,10,
78,,,4,,9,19,
79,,8,30,1,31,x,
80,,3,34,4,38,x,
81,,,10,,17,1,
82,,,6,,23,20,
83,,,0,,1,,14
84,,,0,,18,20,
85,,,22,,32,x,
86,,,4,,16,31,
87,,,5,,24,14,
88,,,0,,3,,11
89,,,0,,10,11,
90,,,4,,12,14,
91,,,4,,11,24,
92,,,11,,43,6,
93,1,24,47,3,50,x,
94,,20,40,x,,,
95,,8,48,2,50,x,
96,,,4,,16,21,
97,,,5,,3,,17
98,,,0,,8,11,
99,,,0,,9,31,
100,,1,16,,27,4,
101,,,20,,35,2,
102,,,0,,1,,13
103,,,23,,41,3,
104,,,0,,11,35,
105,,,4,,14,15,
106,,,2,,19,19,
107,,,4,,32,19,
108,,,8,,17,6,
109,,,23,,32,8,
110,,,15,,26,14,
111,,,2,,26,16,
112,,3,35,,61,10,
113,,,11,,37,16,
114,,,12,,25,27,
115,,,0,,0,,
116,,,1,,9,20,
117,,,2,,11,5,
118,,6,26,3,29,x,
119,,1,58,6,64,x,
120,1,15,29,8,37,x,
121,,,5,,13,26,
122,,3,32,,44,3,
123,,4,28,7,35,x,
124,,2,29,11,37,3,
125,,,8,,23,9,
126,,,0,,1,,40
127,,,0,,2,,33
128,,,0,,6,,22
129,,,0,,10,22,
130,,,27,8,35,x,
131,,,0,,1,,12
132,,,0,,21,10,
133,,,4,,17,16,
134,,,0,,14,14,
135,,,2,,22,39,
136,,4,39,11,44,4,
137,,,0,,25,19,
138,,,0,,7,,26
139,,,0,,12,21,
140,,,0,,1,,26
141,,,1,,14,24,
142,,7,29,7,36,x,
143,,,0,,0,,
144,,,0,,1,,15
145,,,24,9,33,x,
146,,,1,,18,22,
147,,,0,,5,22,
148,,,2,,21,11,
149,,,2,,21,27,
150,,,0,,11,25,
151,,,0,,0,,
152,,,0,,1,,36
153,,,3,,17,11,
154,,,3,,21,25,
155,,,6,,41,42,
156,,,0,,1,,20
157,1,15,53,9,60,2,
