Cane ID,Basal Dia,Distal Dia,Length,West/East
1,11.36,5.19,120,W
2,9.77,4.44,122,
3,13.34,7.85,161,
4,12.36,9.5,146,
5,10.67,5.06,134,
6,12.13,8.59,158,
7,11.99,5.78,190,
8,10.44,6.13,105,
9,10.41,6.74,138,
10,9.24,5.24,128,
11,10.76,6.06,122,
12,10.78,5.09,139,W
13,12.26,7.64,155,E
14,12.05,5.18,198,
15,9.53,5.75,138,
16,13.47,10.93,146,
17,9.36,6.29,110,
18,10.24,7,121,
19,11.9,5.01,155,
20,10.67,7.58,147,
21,12.09,8.29,137,
22,8.42,6.8,110,
23,8.91,5.11,127,
24,9.6,5.95,128,E
25,10.11,5.4,120,W
26,9.98,4.61,104,
27,9.69,5.97,169,
28,9.17,5.95,17,
29,10,7.11,126,
30,8.64,7.66,110,
31,11.93,7.03,166,
32,11.18,8.16,138,
33,10.36,6.13,136,
34,10.63,5.11,169,
35,10.97,5.57,103,
36,11.59,6.54,100,W
37,11.23,6.43,159,E
38,10.04,5.05,128,
39,11.51,7.52,157,
40,11.37,5.58,107,
41,11.65,8.74,136,
42,13.51,9.6,143,
43,11.44,6.53,114,
44,10.78,7.65,130,
45,12.15,7.05,161,
46,10.35,5.07,114,
47,8.93,5.99,100,
48,10.65,6.18,94,E
49,9.82,6,132,W
50,12.31,9,163,
51,10.65,6.3,176,
52,11.41,7.27,138,
53,10.81,8.16,157,
54,13.23,9.71,154,
55,10.85,5.14,164,
56,13.82,8.28,197,
57,9.62,6.41,100,
58,9.5,5.23,124,
59,9.03,5.14,119,
60,12.5,6.83,171,W
61,9.92,5.96,141,E
62,9.63,7.3,110,
63,12.82,6.62,248,
64,11.7,7.83,103,
65,10.76,6.94,100,
66,11.64,7.44,131,
67,13.64,8.64,186,
68,11.35,5.35,119,
69,12.27,7.34,131,
70,10.22,5.97,117,
71,8.45,5.69,100,
72,8.75,6.42,106,E
73,9.82,6.08,129,W
74,10.54,5.4,123,
75,12.94,7.58,243,
76,13.06,6.03,261,
77,10.1,8.66,97,
78,9,5.25,105,
79,9.98,5.25,103,
80,10.03,6.85,121,
81,8.78,5.1,100,
82,10.78,5.31,179,W
83,8.62,6.77,82,E
84,11.54,5.71,130,W
85,9.53,5.65,93,E
86,11.36,6.56,185,
87,9.47,7.07,108,
88,10.47,6.67,116,
89,13.42,10.75,115,
90,10.61,6.35,152,
91,13.68,8.71,128,
92,14.18,9.84,166,
93,12.63,8.71,128,
94,10.45,5.12,107,
95,11.53,6.67,98,
96,11.61,7.8,149,E
97,10.2,7.5,117,W
98,9.62,7.49,105,
99,10.38,6.5,126,
100,11.04,7.43,100,
101,9.33,6.37,109,
102,11.71,9.66,111,
103,13.33,11.34,149,
104,10.73,6.04,150,
105,9.97,7.03,79,
106,10.12,6.13,100,
107,12.04,6.45,180,
108,11.05,7.37,85,W
109,9.33,6.46,128,E
110,11.62,4.98,127,
111,11.58,8.98,152,
112,11.36,4.97,200,
113,11.18,5.76,178,
114,14.34,8.09,216,
115,9.51,5.11,122,
116,9.4,7.06,132,
117,10.22,5.94,120,
118,10.05,8.61,100,
119,10.88,5.73,189,
120,10.13,7.55,134,E
121,8.96,5.95,125,W
122,10.62,4.96,156,
123,11,5.56,122,
124,9.03,5.21,100,
125,11.02,6.62,106,
126,11.03,6.2,128,
127,10.36,9.15,129,
128,12.53,6.51,128,
129,13.16,7.73,124,
130,11.03,7.56,100,
131,10.45,7.46,84,
132,10,7.27,116,W
133,10.55,5.74,130,E
134,9,6.23,98,
135,12.95,8.21,165,
136,12.67,8.51,128,
137,9.72,7.58,105,
138,12.13,9.31,111,
139,9.67,6.12,120,
140,10.05,7.51,122,
141,11.85,8.82,162,
142,9.91,6.14,92,
143,9.39,7.82,118,
144,9.71,6.1,135,E
145,9.54,5.61,98,W
146,11.11,6.79,161,
147,8.84,6.97,105,
148,10.4,9.61,115,
149,11.47,8.34,146,
150,10.97,8.51,110,
151,9.76,6.61,103,
152,13.74,8.6,203,
153,11.42,9.43,116,
154,11.45,6.53,165,
155,14.82,8.7,218,
156,9.81,5.79,98,W
157,12.08,5.91,192,E
158,12.89,9.33,180,
159,11.09,6.48,146,
160,11.07,5.39,131,
161,11.73,5.84,158,
162,11.22,8.73,110,
163,11.07,8.27,134,
164,10.16,6.81,91,
165,12.19,7.71,98,
166,10.57,6.18,141,
167,11.17,7.32,131,
168,11.67,6.53,150,E
169,9.97,6.68,132,W
170,8.71,5,100,
171,9.14,3.86,115,
172,8.83,5,105,
173,10.52,5.86,188,
174,11.34,6.54,130,
175,9.43,6.67,90,
176,9.88,6.11,82,
177,11.33,7.56,83,
178,10.42,5.37,130,
179,10.43,6.5,126,
180,11.38,6.24,191,W
181,10.45,5.36,126,E
182,10.31,6.51,90,
183,10.46,6.06,126,
184,10.98,7.76,141,
185,10.34,4.6,138,
186,9.51,4.5,124,
187,12.18,7.23,159,
188,12.38,4.81,156,
189,10.92,6.07,120,
190,10.3,6.08,100,
191,10.16,5.14,140,
192,10.4,9.05,105,E
193,11.08,5.91,171,W
194,10.29,5.09,100,
195,8.52,5.37,92,
196,11.23,5.44,125,
197,11.61,6.63,129,
198,11.14,5.98,91,
199,10.52,6.19,95,
200,10.67,6.6,89,
201,9.66,7.16,92,
202,10.41,7.74,125,
203,9.41,5.65,116,
204,9.88,7.98,108,W
205,10.42,6.83,120,E
206,9.58,6.08,130,
207,10.51,7.12,87,
208,10,6.87,77,
209,10.17,5.25,87,
210,10.48,4.41,99,
211,11.03,5.7,106,
212,10.87,8.62,105,
213,10.28,6.86,89,
214,10.96,8.19,102,
215,10.57,6.25,145,
216,10.11,5.16,123,E
217,13.25,5.34,254,W
218,8.3,6.25,97,
219,9.79,4.8,112,
220,10.01,5.4,143,
221,10.84,5.28,123,
222,10.2,6.79,78,
223,11.13,6.35,124,
224,10.51,7.69,124,
225,11.81,4.49,136,
226,10.28,5.24,115,
227,9,5.8,118,
228,10.9,6.72,144,W
229,9.24,5.17,87,E
230,9.7,3.84,123,
231,8.47,5.6,86,
232,11.74,5.68,128,
233,10.2,5.83,92,
234,10.77,8.61,111,
235,10.73,5.56,97,
236,14.39,10.3,128,
237,11.29,8,155,
238,9.01,5.57,113,
239,8.91,6.09,141,
240,11.35,5.81,168,E
