CaneID,Treatment
1001,Untreated control
1002,Budup Lonza 4% + AB 2%           M
1003,Budup 1% + AB 2%                        E
1004,Budup 1% + AB 2%                       VL
1005,Budup 4% + AB 2%                        M
1006,6% HiCane                                        L
1007,Budup 4% + AB 2%                         L
1008,Budup 4% + AB 2%                       VL
1009,2% AB                                                M
1010,Budup 1% + AB 2%                        M
1011,Budup 6% + AB 2%                        E
1012,Budup 2% + AB 2%                         L
1013,Budup 6% + AB 2%                        M
1014,Budup 6% + AB 2%                         L
1015,Budup 6% + AB 2%                       VL
1016,Budup 4% + AB 2%                        E
1017,Budup 2% + AB 2%                       VL
1018,Budup 1% + AB 2%                         L
1019,Untreated control
1020,6% HiCane                                      VL
1021,Budup 2% + AB 2%                        E
1022,6% HiCane                                       M
1023,Budup 2% + AB 2%                        M
1024,6% HiCane + 0.2% Driftstop E         
1025,Budup 1% + AB 2%                        E
1026,Budup 6% + AB 2%                        M
1027,Untreated control
1028,Budup 1% + AB 2%                       VL
1029,Budup 6% + AB 2%                         L
1030,6% HiCane                                        L
1031,Budup 4% + AB 2%                        M
1032,Budup 4% + AB 2%                         L
1033,Budup 2% + AB 2%                       VL
1034,6% HiCane                                      VL
1035,Budup Lonza 4% + AB 2%           M
1036,6% HiCane                                       M
1037,Budup 2% + AB 2%                        M
1038,Budup 4% + AB 2%                       VL
1039,Budup 2% + AB 2%                         L
1040,Untreated control
1041,Budup 6% + AB 2%                       VL
1042,Budup 1% + AB 2%                         L
1043,2% AB                                                M
1044,Budup 1% + AB 2%                        M
1045,Budup 6% + AB 2%                        E
1046,6% HiCane + 0.2% Driftstop E         
1047,Budup 2% + AB 2%                        E
1048,Budup 4% + AB 2%                        E
1049,Untreated control
1050,Untreated control
1051,Budup 1% + AB 2%                       VL
1052,Budup 2% + AB 2%                         L
1053,6% HiCane                                      VL
1054,Budup 4% + AB 2%                       VL
1055,6% HiCane                                       M
1056,Budup 4% + AB 2%                        E
1057,Budup 1% + AB 2%                        M
1058,Budup 2% + AB 2%                        E
1059,Budup 1% + AB 2%                         L
1060,Budup 4% + AB 2%                         L
1061,Budup 2% + AB 2%                       VL
1062,Budup 4% + AB 2%                        M
1063,Budup 6% + AB 2%                        M
1064,Budup 6% + AB 2%                        E
1065,Budup 2% + AB 2%                        M
1066,6% HiCane + 0.2% Driftstop E         
1067,6% HiCane                                        L
1068,Budup 6% + AB 2%                       VL
1069,Budup Lonza 4% + AB 2%           M
1070,Budup 1% + AB 2%                        E
1071,Budup 6% + AB 2%                         L
1072,2% AB                                                M
1073,Budup 1% + AB 2%                         L
1074,Budup 6% + AB 2%                        E
1075,6% HiCane                                       M
1076,Budup Lonza 4% + AB 2%           M
1077,Budup 1% + AB 2%                        E
1078,Untreated control
1079,6% HiCane + 0.2% Driftstop E         
1080,Budup 2% + AB 2%                       VL
1081,Budup 2% + AB 2%                        M
1082,Budup 6% + AB 2%                         L
1083,Budup 4% + AB 2%                        M
1084,Budup 4% + AB 2%                         L
1085,Budup 1% + AB 2%                       VL
1086,Budup 4% + AB 2%                        E
1087,Budup 6% + AB 2%                        M
1088,Untreated control
1089,6% HiCane                                        L
1090,Budup 1% + AB 2%                        M
1091,Budup 6% + AB 2%                       VL
1092,6% HiCane                                      VL
1093,Budup 2% + AB 2%                         L
1094,Budup 2% + AB 2%                        E
1095,2% AB                                                M
1096,Budup 4% + AB 2%                       VL
1097,Budup 6% + AB 2%                        M
1098,Untreated control
1099,Budup 6% + AB 2%                       VL
1100,Budup Lonza 4% + AB 2%           M
1101,Untreated control
1102,Budup 1% + AB 2%                       VL
1103,6% HiCane                                        L
1104,Budup 2% + AB 2%                        E
1105,Budup 4% + AB 2%                       VL
1106,Budup 2% + AB 2%                         L
1107,Budup 6% + AB 2%                         L
1108,Budup 1% + AB 2%                        E
1109,Budup 2% + AB 2%                       VL
1110,Budup 1% + AB 2%                        M
1111,Budup 4% + AB 2%                         L
1112,Budup 4% + AB 2%                        M
1113,Budup 6% + AB 2%                        E
1114,2% AB                                                M
1115,Budup 2% + AB 2%                        M
1116,6% HiCane + 0.2% Driftstop E         
1117,Budup 1% + AB 2%                         L
1118,Budup 4% + AB 2%                        E
1119,6% HiCane                                      VL
1120,6% HiCane                                       M
1121,6% HiCane                                       M
1122,Budup 1% + AB 2%                       VL
1123,Budup 4% + AB 2%                        M
1124,Budup 2% + AB 2%                       VL
1125,2% AB                                                M
1126,Budup 4% + AB 2%                        E
1127,Budup 6% + AB 2%                        M
1128,6% HiCane                                      VL
1129,Untreated control
1130,Budup 4% + AB 2%                       VL
1131,Budup 6% + AB 2%                         L
1132,Untreated control
1133,Budup 2% + AB 2%                         L
1134,6% HiCane + 0.2% Driftstop E         
1135,6% HiCane                                        L
1136,Budup 1% + AB 2%                        E
1137,Budup 1% + AB 2%                        M
1138,Budup 2% + AB 2%                        E
1139,Budup 4% + AB 2%                         L
1140,Budup 6% + AB 2%                        E
1141,Budup 2% + AB 2%                        M
1142,Budup 6% + AB 2%                       VL
1143,Budup 1% + AB 2%                         L
1144,Budup Lonza 4% + AB 2%           M
1145,Budup 6% + AB 2%                       VL
1146,Budup 2% + AB 2%                        E
1147,Budup 6% + AB 2%                        M
1148,Budup 1% + AB 2%                        E
1149,Budup 2% + AB 2%                       VL
1150,Budup 4% + AB 2%                       VL
1151,Budup 1% + AB 2%                        M
1152,Untreated control
1153,6% HiCane + 0.2% Driftstop E         
1154,Budup 1% + AB 2%                         L
1155,Budup 4% + AB 2%                         L
1156,Budup 6% + AB 2%                        E
1157,6% HiCane                                        L
1158,6% HiCane                                       M
1159,Budup 2% + AB 2%                        M
1160,Budup Lonza 4% + AB 2%           M
1161,Budup 6% + AB 2%                         L
1162,2% AB                                                M
1163,Budup 4% + AB 2%                        E
1164,6% HiCane                                      VL
1165,Budup 1% + AB 2%                       VL
1166,Budup 4% + AB 2%                        M
1167,Untreated control
1168,Budup 2% + AB 2%                         L
