Cane,Trt/Timing
1,BU 4% + 2% AB - M
2,BU 1% + 2% AB - M
3,BU 4% + 2% AB - E
4,2% AB - M
5,HC 6% + 0.2%DS - E
6,HC 6% + 0.2%DS - M
7,BU 1% + 2% AB - L
8,BU 2% + 2% AB - E
9,BU Lonza 4% + 2% AB - M
10,BU 4% + 2% AB - E
11,BU 2% + 2% AB - L
12,2% AB - M
13,BU 4% + 2% AB - L
14,BU 6% + 2% AB - E
15,BU 2% + 2% AB - M
16,HC 6% + 0.2%DS - M
17,BU 1% + 2% AB - E
18,BU 1% + 2% AB - L
19,Untreated control
20,BU 1% + 2% AB - L
21,HC 6% + 0.2%DS - E
22,BU 6% + 2% AB - M
23,HC 6% + 0.2%DS - L
24,2% AB - M
25,BU 2% + 2% AB - M
26,BU 6% + 2% AB - L
27,BU 4% + 2% AB - E
28,BU 6% + 2% AB - E
29,BU 1% + 2% AB - E
30,BU 2% + 2% AB - L
31,HC 6% + 0.2%DS - L
32,BU 6% + 2% AB - E
33,BU 2% + 2% AB - M
34,BU Lonza 4% + 2% AB - M
35,BU 1% + 2% AB - L
36,Untreated control
37,BU 6% + 2% AB - M
38,BU 2% + 2% AB - L
39,BU 1% + 2% AB - L
40,BU 6% + 2% AB - L
41,BU 2% + 2% AB - E
42,BU 4% + 2% AB - E
43,2% AB - M
44,BU 4% + 2% AB - M
45,HC 6% + 0.2%DS - E
46,BU 6% + 2% AB - M
47,BU 6% + 2% AB - L
48,BU 2% + 2% AB - M
49,BU 1% + 2% AB - E
50,Untreated control
51,Untreated control
52,HC 6% + 0.2%DS - M
53,BU 4% + 2% AB - E
54,BU 1% + 2% AB - M
55,BU 4% + 2% AB - L
56,BU 1% + 2% AB - L
57,BU Lonza 4% + 2% AB - M
58,BU 6% + 2% AB - E
59,BU 6% + 2% AB - M
60,BU 1% + 2% AB - L
61,BU 4% + 2% AB - L
62,BU 1% + 2% AB - M
63,BU 6% + 2% AB - L
64,BU 2% + 2% AB - E
65,BU 4% + 2% AB - M
66,BU 6% + 2% AB - E
67,BU 1% + 2% AB - E
68,BU 1% + 2% AB - M
69,2% AB - M
70,Untreated control
71,BU 6% + 2% AB - L
72,BU 2% + 2% AB - L
73,BU 4% + 2% AB - M
74,BU 6% + 2% AB - L
75,BU 1% + 2% AB - L
76,BU 4% + 2% AB - E
77,2% AB - M
78,BU 6% + 2% AB - M
79,BU 6% + 2% AB - E
80,Untreated control
81,BU 1% + 2% AB - M
82,BU 2% + 2% AB - E
83,BU 1% + 2% AB - E
84,2% AB - M
85,HC 6% + 0.2%DS - L
86,BU 4% + 2% AB - M
87,HC 6% + 0.2%DS - E
88,BU 2% + 2% AB - M
89,Untreated control
90,BU Lonza 4% + 2% AB - M
91,BU 4% + 2% AB - E
92,BU 2% + 2% AB - L
93,HC 6% + 0.2%DS - E
94,BU 6% + 2% AB - L
95,BU 2% + 2% AB - E
96,BU Lonza 4% + 2% AB - M
97,HC 6% + 0.2%DS - M
98,BU 4% + 2% AB - L
99,BU 4% + 2% AB - M
100,BU 2% + 2% AB - M
101,HC 6% + 0.2%DS - L
102,BU 1% + 2% AB - E
103,BU 2% + 2% AB - L
104,BU 6% + 2% AB - L
105,HC 6% + 0.2%DS - M
106,Untreated control
107,2% AB - M
108,HC 6% + 0.2%DS - E
109,BU 2% + 2% AB - M
110,BU 2% + 2% AB - E
111,BU 4% + 2% AB - L
112,HC 6% + 0.2%DS - M
113,2% AB - M
