CaneNo,Trt/Timing
1001,BU 1% + 2% AB - E
1002,BU 2% + 2% AB - E
1003,BU 6% + 2% AB - L
1004,HC 6% + 0.2%DS - E
1005,Untreated control
1006,BU 2% + 2% AB - L
1007,BU 4% + 2% AB - L
1008,BU 4% + 2% AB - M
1009,HC 6% + 0.2%DS - M
1010,2% AB - M
1011,BU 2% + 2% AB - M
1012,BU 6% + 2% AB - M
1013,HC 6% + 0.2%DS - E
1014,Untreated control
1015,BU Lonza 4% + 2% AB - M
1016,BU 4% + 2% AB - E
1017,BU 6% + 2% AB - L
1018,HC 6% + 0.2%DS - L
1019,BU 2% + 2% AB - L
1020,BU 2% + 2% AB - M
1021,BU 1% + 2% AB - M
1022,BU 6% + 2% AB - E
1023,BU 6% + 2% AB - M
1024,BU 2% + 2% AB - E
1025,Untreated control
1026,BU 2% + 2% AB - M
1027,HC 6% + 0.2%DS - M
1028,BU 1% + 2% AB - E
1029,BU 4% + 2% AB - L
1030,BU 6% + 2% AB - E
1031,Untreated control
1032,BU 2% + 2% AB - E
1033,BU 1% + 2% AB - M
1034,BU 1% + 2% AB - L
1035,BU 2% + 2% AB - L
1036,HC 6% + 0.2%DS - M
1037,BU Lonza 4% + 2% AB - M
1038,BU 4% + 2% AB - E
1039,BU 1% + 2% AB - E
1040,BU 2% + 2% AB - L
1041,Untreated control
1042,HC 6% + 0.2%DS - M
1043,BU 6% + 2% AB - L
1044,BU 4% + 2% AB - M
1045,BU 2% + 2% AB - M
1046,2% AB - M
1047,BU 1% + 2% AB - L
1048,2% AB - M
1049,BU 4% + 2% AB - M
1050,BU 6% + 2% AB - E
1051,BU 4% + 2% AB - E
1052,HC 6% + 0.2%DS - L
1053,Untreated control
1054,BU Lonza 4% + 2% AB - M
1055,BU 1% + 2% AB - M
1056,BU 2% + 2% AB - L
1057,Untreated control
1058,HC 6% + 0.2%DS - E
1059,BU 2% + 2% AB - E
1060,BU 4% + 2% AB - L
1061,BU 6% + 2% AB - E
1062,BU 1% + 2% AB - L
1063,HC 6% + 0.2%DS - L
1064,BU 6% + 2% AB - M
1065,BU 1% + 2% AB - M
1066,BU 4% + 2% AB - E
1067,BU 6% + 2% AB - L
1068,2% AB - M
1069,HC 6% + 0.2%DS - E
1070,BU 1% + 2% AB - E
1071,HC 6% + 0.2%DS - L
1072,BU 4% + 2% AB - M
1073,Untreated control
1074,BU Lonza 4% + 2% AB - M
1075,BU 6% + 2% AB - M
1076,BU 2% + 2% AB - M
1077,BU 4% + 2% AB - L
1078,HC 6% + 0.2%DS - L
1079,HC 6% + 0.2%DS - E
1080,2% AB - M
1081,BU 4% + 2% AB - M
1082,BU 1% + 2% AB - L
1083,BU 4% + 2% AB - E
1084,BU 1% + 2% AB - M
1085,Untreated control
1086,BU 6% + 2% AB - L
1087,BU Lonza 4% + 2% AB - M
1088,BU 2% + 2% AB - L
1089,BU 4% + 2% AB - M
1090,Untreated control
1091,BU 4% + 2% AB - L
1092,HC 6% + 0.2%DS - M
1093,BU 1% + 2% AB - E
1094,BU 6% + 2% AB - E
1095,BU 1% + 2% AB - L
1096,BU 2% + 2% AB - E
1097,2% AB - M
1098,BU 4% + 2% AB - E
1099,BU 1% + 2% AB - L
1100,HC 6% + 0.2%DS - L
1101,BU 1% + 2% AB - M
1102,BU 6% + 2% AB - E
1103,Untreated control
1104,BU Lonza 4% + 2% AB - M
1105,BU 6% + 2% AB - M
1106,BU 2% + 2% AB - L
1107,HC 6% + 0.2%DS - M
1108,BU 4% + 2% AB - E
1109,BU 6% + 2% AB - E
1110,BU 1% + 2% AB - M
1111,Untreated control
1112,HC 6% + 0.2%DS - E
1113,BU 1% + 2% AB - E
1114,BU 4% + 2% AB - M
1115,BU 2% + 2% AB - E
1116,BU 6% + 2% AB - L
1117,HC 6% + 0.2%DS - L
1118,2% AB - M
