CaneID,Treatment
1,Budup 1% + AB 2%                        M
2,Budup 2% + AB 2%                         L
3,2% AB                                                M
4,Budup 6% + AB 2%                         L
5,3% HiCane                                        L
6,Budup 4% + AB 2%                        M
7,Budup 1% + AB 2%                       VL
8,3% HiCane                                      VL
9,Budup 2% + AB 2%                        M
10,Budup 4% + AB 2%                        E
11,Budup 2% + AB 2%                        E
12,Budup 6% + AB 2%                        M
13,Untreated control
14,Budup 6% + AB 2%                       VL
15,3% HiCane + 0.2% Driftstop E         
16,Budup Lonza 4% + AB 2%           M
17,Budup 4% + AB 2%                       VL
18,Untreated control
19,Budup 1% + AB 2%                         L
20,Budup 6% + AB 2%                        E
21,3% HiCane                                       M
22,Budup 1% + AB 2%                        E
23,Budup 4% + AB 2%                         L
24,Budup 2% + AB 2%                       VL
25,Budup 6% + AB 2%                         L
26,3% HiCane                                        L
27,Budup 2% + AB 2%                       VL
28,Budup 1% + AB 2%                        M
29,Budup 1% + AB 2%                         L
30,3% HiCane                                      VL
31,Budup 2% + AB 2%                        E
32,3% HiCane                                       M
33,Budup 1% + AB 2%                        E
34,Budup 6% + AB 2%                        M
35,Budup 4% + AB 2%                         L
36,Budup 4% + AB 2%                       VL
37,Budup Lonza 4% + AB 2%           M
38,Budup 1% + AB 2%                       VL
39,Untreated control
40,3% HiCane + 0.2% Driftstop E         
41,Budup 4% + AB 2%                        E
42,Budup 6% + AB 2%                        E
43,Budup 2% + AB 2%                        M
44,2% AB                                                M
45,Untreated control
46,Budup 4% + AB 2%                        M
47,Budup 6% + AB 2%                       VL
48,Budup 2% + AB 2%                         L
49,Budup 1% + AB 2%                       VL
50,Budup 2% + AB 2%                        E
51,Budup 6% + AB 2%                        M
52,Budup 1% + AB 2%                        M
53,Budup 6% + AB 2%                         L
54,2% AB                                                M
55,Budup 1% + AB 2%                         L
56,Budup 4% + AB 2%                        M
57,3% HiCane                                      VL
58,3% HiCane                                       M
59,Budup 2% + AB 2%                       VL
60,Budup 4% + AB 2%                        E
61,Budup 4% + AB 2%                         L
62,Budup 1% + AB 2%                        E
63,Budup Lonza 4% + AB 2%           M
64,Untreated control
65,3% HiCane                                        L
66,Budup 4% + AB 2%                       VL
67,Untreated control
68,3% HiCane + 0.2% Driftstop E         
69,Budup 6% + AB 2%                        E
70,Budup 2% + AB 2%                        M
71,Budup 2% + AB 2%                         L
72,Budup 6% + AB 2%                       VL
73,Budup 2% + AB 2%                       VL
74,Budup 6% + AB 2%                         L
75,Budup 1% + AB 2%                        E
76,Budup Lonza 4% + AB 2%           M
77,3% HiCane                                       M
78,2% AB                                                M
79,Untreated control
80,Budup 2% + AB 2%                        E
81,3% HiCane                                        L
82,Budup 1% + AB 2%                        M
83,Budup 6% + AB 2%                        M
84,Budup 1% + AB 2%                         L
85,3% HiCane + 0.2% Driftstop E         
86,Budup 2% + AB 2%                        M
87,Budup 2% + AB 2%                         L
88,Budup 6% + AB 2%                       VL
89,Budup 4% + AB 2%                       VL
90,3% HiCane                                      VL
91,Budup 1% + AB 2%                       VL
92,Budup 4% + AB 2%                        M
93,Untreated control
94,Budup 4% + AB 2%                        E
95,Budup 6% + AB 2%                        E
96,Budup 4% + AB 2%                         L
97,Budup 2% + AB 2%                       VL
98,3% HiCane                                       M
99,Budup Lonza 4% + AB 2%           M
100,Untreated control
101,Budup 6% + AB 2%                        E
102,Budup 4% + AB 2%                       VL
103,3% HiCane + 0.2% Driftstop E         
104,3% HiCane                                      VL
105,Budup 2% + AB 2%                        M
106,Budup 4% + AB 2%                        M
107,Budup 6% + AB 2%                        M
108,Budup 1% + AB 2%                         L
109,Budup 1% + AB 2%                        M
110,2% AB                                                M
111,Budup 2% + AB 2%                         L
112,Budup 1% + AB 2%                        E
113,Budup 4% + AB 2%                         L
114,3% HiCane                                        L
115,Budup 6% + AB 2%                       VL
116,Budup 6% + AB 2%                         L
117,Budup 1% + AB 2%                       VL
118,Budup 2% + AB 2%                        E
119,Budup 4% + AB 2%                        E
120,Untreated control
121,2% AB                                                M
122,Budup 4% + AB 2%                        E
123,Budup 6% + AB 2%                        E
124,Budup 2% + AB 2%                        E
125,Untreated control
126,Budup 4% + AB 2%                       VL
127,Budup 2% + AB 2%                        M
128,3% HiCane                                      VL
129,Budup 6% + AB 2%                         L
130,3% HiCane + 0.2% Driftstop E         
131,Budup 1% + AB 2%                       VL
