CaneID,Date,OpenBuds,BudbreakPercentage,information,Treatment
1001,2019-08-30,1,0.047619047619047616,NA,Untreated control
1001,2019-09-04,1,0.047619047619047616,NA,Untreated control
1001,2019-09-09,1,0.047619047619047616,NA,Untreated control
1001,2019-09-12,1,0.047619047619047616,NA,Untreated control
1001,2019-09-16,7,0.3333333333333333,NA,Untreated control
1001,2019-09-19,10,0.47619047619047616,NA,Untreated control
1001,2019-09-23,13,0.6190476190476191,NA,Untreated control
1001,2019-09-26,13,0.6190476190476191,NA,Untreated control
1001,2019-09-30,14,0.6666666666666666,NA,Untreated control
1001,2019-10-03,17,0.8095238095238095,NA,Untreated control
1001,2019-10-07,21,1,NA,Untreated control
1002,2019-08-30,0,0,NA,Budup Lonza 4% + AB 2%           M
1002,2019-09-04,0,0,NA,Budup Lonza 4% + AB 2%           M
1002,2019-09-09,0,0,NA,Budup Lonza 4% + AB 2%           M
1002,2019-09-12,0,0,NA,Budup Lonza 4% + AB 2%           M
1002,2019-09-16,1,0.038461538461538464,NA,Budup Lonza 4% + AB 2%           M
1002,2019-09-19,1,0.038461538461538464,NA,Budup Lonza 4% + AB 2%           M
1002,2019-09-23,8,0.3076923076923077,NA,Budup Lonza 4% + AB 2%           M
1002,2019-09-26,18,0.6923076923076923,NA,Budup Lonza 4% + AB 2%           M
1002,2019-09-30,23,0.8846153846153846,NA,Budup Lonza 4% + AB 2%           M
1002,2019-10-03,26,1,NA,Budup Lonza 4% + AB 2%           M
1002,2019-10-07,26,1,NA,Budup Lonza 4% + AB 2%           M
1003,2019-08-30,0,0,NA,Budup 1% + AB 2%                        E
1003,2019-09-04,0,0,NA,Budup 1% + AB 2%                        E
1003,2019-09-09,0,0,NA,Budup 1% + AB 2%                        E
1003,2019-09-12,0,0,NA,Budup 1% + AB 2%                        E
1003,2019-09-16,1,0.045454545454545456,NA,Budup 1% + AB 2%                        E
1003,2019-09-19,5,0.22727272727272727,NA,Budup 1% + AB 2%                        E
1003,2019-09-23,8,0.36363636363636365,NA,Budup 1% + AB 2%                        E
1003,2019-09-26,13,0.5909090909090909,NA,Budup 1% + AB 2%                        E
1003,2019-09-30,16,0.7272727272727273,NA,Budup 1% + AB 2%                        E
1003,2019-10-03,22,1,NA,Budup 1% + AB 2%                        E
1003,2019-10-07,22,1,NA,Budup 1% + AB 2%                        E
1004,2019-08-30,0,0,NA,Budup 1% + AB 2%                       VL
1004,2019-09-04,0,0,NA,Budup 1% + AB 2%                       VL
1004,2019-09-09,0,0,NA,Budup 1% + AB 2%                       VL
1004,2019-09-12,0,0,NA,Budup 1% + AB 2%                       VL
1004,2019-09-16,0,0,NA,Budup 1% + AB 2%                       VL
1004,2019-09-19,1,0.041666666666666664,NA,Budup 1% + AB 2%                       VL
1004,2019-09-23,2,0.08333333333333333,NA,Budup 1% + AB 2%                       VL
1004,2019-09-26,5,0.20833333333333334,NA,Budup 1% + AB 2%                       VL
1004,2019-09-30,9,0.375,NA,Budup 1% + AB 2%                       VL
1004,2019-10-03,21,0.875,NA,Budup 1% + AB 2%                       VL
1004,2019-10-07,24,1,NA,Budup 1% + AB 2%                       VL
1005,2019-08-30,0,0,NA,Budup 4% + AB 2%                        M
1005,2019-09-04,1,0.045454545454545456,NA,Budup 4% + AB 2%                        M
1005,2019-09-09,1,0.045454545454545456,NA,Budup 4% + AB 2%                        M
