CaneID,Date,FlowerCount,FlowerPercentage,information,Treatment
1001,2019-10-30,0,0,NA,Untreated control
1001,2019-11-01,0,0,NA,Untreated control
1001,2019-11-05,0,0,NA,Untreated control
1001,2019-11-07,0,0,NA,Untreated control
1001,2019-11-11,12,0.4444444444444444,NA,Untreated control
1001,2019-11-14,18,0.6666666666666666,NA,Untreated control
1001,2019-11-18,25,0.9259259259259259,NA,Untreated control
1001,2019-11-21,25,0.9259259259259259,Value smaller than max: previous = 24 : new = 25,Untreated control
1001,2019-11-25,27,1,NA,Untreated control
1001,2019-11-28,27,1,NA,Untreated control
1001,2019-12-02,27,1,NA,Untreated control
1002,2019-10-30,0,0,NA,Budup Lonza 4% + AB 2%           M
1002,2019-11-01,0,0,NA,Budup Lonza 4% + AB 2%           M
1002,2019-11-05,0,0,NA,Budup Lonza 4% + AB 2%           M
1002,2019-11-07,0,0,NA,Budup Lonza 4% + AB 2%           M
1002,2019-11-11,0,0,NA,Budup Lonza 4% + AB 2%           M
1002,2019-11-14,3,0.08823529411764706,NA,Budup Lonza 4% + AB 2%           M
1002,2019-11-18,12,0.35294117647058826,NA,Budup Lonza 4% + AB 2%           M
1002,2019-11-21,26,0.7647058823529411,NA,Budup Lonza 4% + AB 2%           M
1002,2019-11-25,33,0.9705882352941176,NA,Budup Lonza 4% + AB 2%           M
1002,2019-11-28,34,1,NA,Budup Lonza 4% + AB 2%           M
1002,2019-12-02,34,1,NA,Budup Lonza 4% + AB 2%           M
1003,2019-10-30,0,0,NA,Budup 1% + AB 2%                        E
1003,2019-11-01,0,0,NA,Budup 1% + AB 2%                        E
1003,2019-11-05,0,0,NA,Budup 1% + AB 2%                        E
1003,2019-11-07,0,0,NA,Budup 1% + AB 2%                        E
1003,2019-11-11,3,0.09375,NA,Budup 1% + AB 2%                        E
1003,2019-11-14,13,0.40625,NA,Budup 1% + AB 2%                        E
1003,2019-11-18,23,0.71875,NA,Budup 1% + AB 2%                        E
1003,2019-11-21,29,0.90625,NA,Budup 1% + AB 2%                        E
1003,2019-11-25,32,1,NA,Budup 1% + AB 2%                        E
1003,2019-11-28,32,1,NA,Budup 1% + AB 2%                        E
1003,2019-12-02,32,1,NA,Budup 1% + AB 2%                        E
1004,2019-10-30,0,0,NA,Budup 1% + AB 2%                       VL
1004,2019-11-01,0,0,NA,Budup 1% + AB 2%                       VL
1004,2019-11-05,0,0,NA,Budup 1% + AB 2%                       VL
1004,2019-11-07,0,0,NA,Budup 1% + AB 2%                       VL
1004,2019-11-11,0,0,NA,Budup 1% + AB 2%                       VL
1004,2019-11-14,0,0,NA,Budup 1% + AB 2%                       VL
1004,2019-11-18,3,0.15789473684210525,NA,Budup 1% + AB 2%                       VL
1004,2019-11-21,9,0.47368421052631576,NA,Budup 1% + AB 2%                       VL
1004,2019-11-25,18,0.9473684210526315,NA,Budup 1% + AB 2%                       VL
1004,2019-11-28,19,1,NA,Budup 1% + AB 2%                       VL
1004,2019-12-02,19,1,NA,Budup 1% + AB 2%                       VL
1005,2019-10-30,0,0,NA,Budup 4% + AB 2%                        M
1005,2019-11-01,0,0,NA,Budup 4% + AB 2%                        M
1005,2019-11-05,0,0,NA,Budup 4% + AB 2%                        M
1005,2019-11-07,0,0,NA,Budup 4% + AB 2%                        M
1005,2019-11-11,0,0,NA,Budup 4% + AB 2%                        M
1005,2019-11-14,13,0.7647058823529411,NA,Budup 4% + AB 2%                        M
1005,2019-11-18,17,1,NA,Budup 4% + AB 2%                        M
1005,2019-11-21,17,1,NA,Budup 4% + AB 2%                        M
1005,2019-11-25,17,1,NA,Budup 4% + AB 2%                        M
1005,2019-11-28,17,1,NA,Budup 4% + AB 2%                        M
1005,2019-12-02,17,1,NA,Budup 4% + AB 2%                        M
1006,2019-10-30,0,0,NA,6% HiCane                                        L
1006,2019-11-01,0,0,NA,6% HiCane                                        L
1006,2019-11-05,0,0,NA,6% HiCane                                        L
1006,2019-11-07,0,0,NA,6% HiCane                                        L
1006,2019-11-11,1,0.07692307692307693,NA,6% HiCane                                        L
1006,2019-11-14,6,0.46153846153846156,NA,6% HiCane                                        L
1006,2019-11-18,11,0.8461538461538461,NA,6% HiCane                                        L
1006,2019-11-21,13,1,NA,6% HiCane                                        L
1006,2019-11-25,13,1,NA,6% HiCane                                        L
1006,2019-11-28,13,1,NA,6% HiCane                                        L
1006,2019-12-02,13,1,NA,6% HiCane                                        L
1007,2019-10-30,0,0,NA,Budup 4% + AB 2%                         L
1007,2019-11-01,0,0,NA,Budup 4% + AB 2%                         L
1007,2019-11-05,0,0,NA,Budup 4% + AB 2%                         L
1007,2019-11-07,0,0,NA,Budup 4% + AB 2%                         L
1007,2019-11-11,0,0,NA,Budup 4% + AB 2%                         L
1007,2019-11-14,2,0.09523809523809523,NA,Budup 4% + AB 2%                         L
1007,2019-11-18,7,0.3333333333333333,NA,Budup 4% + AB 2%                         L
1007,2019-11-21,10,0.47619047619047616,NA,Budup 4% + AB 2%                         L
1007,2019-11-25,21,1,NA,Budup 4% + AB 2%                         L
1007,2019-11-28,21,1,NA,Budup 4% + AB 2%                         L
1007,2019-12-02,21,1,NA,Budup 4% + AB 2%                         L
1008,2019-10-30,0,0,NA,Budup 4% + AB 2%                       VL
1008,2019-11-01,0,0,NA,Budup 4% + AB 2%                       VL
1008,2019-11-05,0,0,NA,Budup 4% + AB 2%                       VL
1008,2019-11-07,0,0,NA,Budup 4% + AB 2%                       VL
1008,2019-11-11,0,0,NA,Budup 4% + AB 2%                       VL
1008,2019-11-14,0,0,NA,Budup 4% + AB 2%                       VL
1008,2019-11-18,6,0.5454545454545454,NA,Budup 4% + AB 2%                       VL
1008,2019-11-21,10,0.9090909090909091,NA,Budup 4% + AB 2%                       VL
1008,2019-11-25,11,1,NA,Budup 4% + AB 2%                       VL
1008,2019-11-28,11,1,NA,Budup 4% + AB 2%                       VL
1008,2019-12-02,11,1,NA,Budup 4% + AB 2%                       VL
1009,2019-10-30,0,0,NA,2% AB                                                M
1009,2019-11-01,0,0,NA,2% AB                                                M
1009,2019-11-05,0,0,NA,2% AB                                                M
1009,2019-11-07,0,0,NA,2% AB                                                M
1009,2019-11-11,0,0,NA,2% AB                                                M
1009,2019-11-14,0,0,NA,2% AB                                                M
1009,2019-11-18,0,0,NA,2% AB                                                M
1009,2019-11-21,2,0.15384615384615385,NA,2% AB                                                M
1009,2019-11-25,11,0.8461538461538461,NA,2% AB                                                M
1009,2019-11-28,13,1,NA,2% AB                                                M
1009,2019-12-02,13,1,NA,2% AB                                                M
1010,2019-10-30,0,0,NA,Budup 1% + AB 2%                        M
1010,2019-11-01,0,0,NA,Budup 1% + AB 2%                        M
1010,2019-11-05,0,0,NA,Budup 1% + AB 2%                        M
1010,2019-11-07,0,0,NA,Budup 1% + AB 2%                        M
1010,2019-11-11,0,0,NA,Budup 1% + AB 2%                        M
1010,2019-11-14,1,0.125,NA,Budup 1% + AB 2%                        M
1010,2019-11-18,6,0.75,NA,Budup 1% + AB 2%                        M
1010,2019-11-21,7,0.875,NA,Budup 1% + AB 2%                        M
1010,2019-11-25,8,1,NA,Budup 1% + AB 2%                        M
1010,2019-11-28,8,1,NA,Budup 1% + AB 2%                        M
1010,2019-12-02,8,1,NA,Budup 1% + AB 2%                        M
1011,2019-10-30,0,0,NA,Budup 6% + AB 2%                        E
1011,2019-11-01,0,0,NA,Budup 6% + AB 2%                        E
1011,2019-11-05,0,0,NA,Budup 6% + AB 2%                        E
1011,2019-11-07,0,0,NA,Budup 6% + AB 2%                        E
1011,2019-11-11,1,0.045454545454545456,NA,Budup 6% + AB 2%                        E
1011,2019-11-14,9,0.4090909090909091,NA,Budup 6% + AB 2%                        E
1011,2019-11-18,18,0.8181818181818182,NA,Budup 6% + AB 2%                        E
1011,2019-11-21,21,0.9545454545454546,NA,Budup 6% + AB 2%                        E
1011,2019-11-25,22,1,NA,Budup 6% + AB 2%                        E
1011,2019-11-28,22,1,NA,Budup 6% + AB 2%                        E
1011,2019-12-02,22,1,NA,Budup 6% + AB 2%                        E
1012,2019-10-30,0,0,NA,Budup 2% + AB 2%                         L
1012,2019-11-01,0,0,NA,Budup 2% + AB 2%                         L
1012,2019-11-05,0,0,NA,Budup 2% + AB 2%                         L
