CaneID,Date,FlowerCount,FlowerPercentage,information,Treatment
1,2019-10-28,0,0,NA,BU 4% + 2% AB - M
1,2019-10-29,0,0,NA,BU 4% + 2% AB - M
1,2019-10-30,0,0,NA,BU 4% + 2% AB - M
1,2019-11-01,0,0,NA,BU 4% + 2% AB - M
1,2019-11-04,0,0,NA,BU 4% + 2% AB - M
1,2019-11-06,0,0,NA,BU 4% + 2% AB - M
1,2019-11-08,5,0.3125,NA,BU 4% + 2% AB - M
1,2019-11-11,12,0.75,NA,BU 4% + 2% AB - M
1,2019-11-13,13,0.8125,NA,BU 4% + 2% AB - M
1,2019-11-15,16,1,NA,BU 4% + 2% AB - M
1,2019-11-18,16,1,NA,BU 4% + 2% AB - M
1,2019-11-20,16,1,NA,BU 4% + 2% AB - M
1,2019-11-22,16,1,NA,BU 4% + 2% AB - M
1,2019-11-25,16,1,NA,BU 4% + 2% AB - M
1,2019-11-27,16,1,NA,BU 4% + 2% AB - M
1,2019-11-29,16,1,NA,BU 4% + 2% AB - M
1,2019-12-02,16,1,NA,BU 4% + 2% AB - M
2,2019-10-28,0,0,NA,BU 1% + 2% AB - M
2,2019-10-29,0,0,NA,BU 1% + 2% AB - M
2,2019-10-30,0,0,NA,BU 1% + 2% AB - M
2,2019-11-01,0,0,NA,BU 1% + 2% AB - M
2,2019-11-04,0,0,NA,BU 1% + 2% AB - M
2,2019-11-06,0,0,NA,BU 1% + 2% AB - M
2,2019-11-08,0,0,NA,BU 1% + 2% AB - M
2,2019-11-11,17,0.85,NA,BU 1% + 2% AB - M
2,2019-11-13,19,0.95,NA,BU 1% + 2% AB - M
2,2019-11-15,20,1,NA,BU 1% + 2% AB - M
2,2019-11-18,20,1,NA,BU 1% + 2% AB - M
2,2019-11-20,20,1,NA,BU 1% + 2% AB - M
2,2019-11-22,20,1,NA,BU 1% + 2% AB - M
2,2019-11-25,20,1,NA,BU 1% + 2% AB - M
2,2019-11-27,20,1,NA,BU 1% + 2% AB - M
2,2019-11-29,20,1,NA,BU 1% + 2% AB - M
2,2019-12-02,20,1,NA,BU 1% + 2% AB - M
3,2019-10-28,1,0.125,NA,BU 4% + 2% AB - E
3,2019-10-29,5,0.625,NA,BU 4% + 2% AB - E
3,2019-10-30,5,0.625,NA,BU 4% + 2% AB - E
3,2019-11-01,6,0.75,NA,BU 4% + 2% AB - E
3,2019-11-04,6,0.75,NA,BU 4% + 2% AB - E
3,2019-11-06,6,0.75,NA,BU 4% + 2% AB - E
3,2019-11-08,6,0.75,NA,BU 4% + 2% AB - E
3,2019-11-11,6,0.75,NA,BU 4% + 2% AB - E
3,2019-11-13,7,0.875,NA,BU 4% + 2% AB - E
3,2019-11-15,8,1,NA,BU 4% + 2% AB - E
3,2019-11-18,8,1,NA,BU 4% + 2% AB - E
3,2019-11-20,8,1,NA,BU 4% + 2% AB - E
3,2019-11-22,8,1,NA,BU 4% + 2% AB - E
3,2019-11-25,8,1,NA,BU 4% + 2% AB - E
3,2019-11-27,8,1,NA,BU 4% + 2% AB - E
3,2019-11-29,8,1,NA,BU 4% + 2% AB - E
3,2019-12-02,8,1,NA,BU 4% + 2% AB - E
4,2019-10-28,0,0,NA,2% AB - M
4,2019-10-29,0,0,NA,2% AB - M
4,2019-10-30,0,0,NA,2% AB - M
4,2019-11-01,0,0,NA,2% AB - M
4,2019-11-04,0,0,NA,2% AB - M
4,2019-11-06,0,0,NA,2% AB - M
4,2019-11-08,0,0,NA,2% AB - M
4,2019-11-11,4,0.6666666666666666,NA,2% AB - M
4,2019-11-13,4,0.6666666666666666,NA,2% AB - M
4,2019-11-15,4,0.6666666666666666,NA,2% AB - M
4,2019-11-18,6,1,NA,2% AB - M
4,2019-11-20,6,1,NA,2% AB - M
4,2019-11-22,6,1,NA,2% AB - M
4,2019-11-25,6,1,NA,2% AB - M
4,2019-11-27,6,1,NA,2% AB - M
4,2019-11-29,6,1,NA,2% AB - M
4,2019-12-02,6,1,NA,2% AB - M
5,2019-10-28,0,0,NA,HC 6% + 0.2%DS - E
5,2019-10-29,0,0,NA,HC 6% + 0.2%DS - E
5,2019-10-30,0,0,NA,HC 6% + 0.2%DS - E
5,2019-11-01,5,0.16666666666666666,NA,HC 6% + 0.2%DS - E
5,2019-11-04,23,0.7666666666666667,NA,HC 6% + 0.2%DS - E
5,2019-11-06,30,1,NA,HC 6% + 0.2%DS - E
5,2019-11-08,30,1,NA,HC 6% + 0.2%DS - E
5,2019-11-11,30,1,NA,HC 6% + 0.2%DS - E
5,2019-11-13,30,1,NA,HC 6% + 0.2%DS - E
5,2019-11-15,30,1,NA,HC 6% + 0.2%DS - E
5,2019-11-18,30,1,NA,HC 6% + 0.2%DS - E
5,2019-11-20,30,1,NA,HC 6% + 0.2%DS - E
5,2019-11-22,30,1,NA,HC 6% + 0.2%DS - E
5,2019-11-25,30,1,NA,HC 6% + 0.2%DS - E
5,2019-11-27,30,1,NA,HC 6% + 0.2%DS - E
5,2019-11-29,30,1,NA,HC 6% + 0.2%DS - E
5,2019-12-02,30,1,NA,HC 6% + 0.2%DS - E
6,2019-10-28,0,0,NA,HC 6% + 0.2%DS - M
6,2019-10-29,0,0,NA,HC 6% + 0.2%DS - M
6,2019-10-30,0,0,NA,HC 6% + 0.2%DS - M
6,2019-11-01,0,0,NA,HC 6% + 0.2%DS - M
6,2019-11-04,0,0,NA,HC 6% + 0.2%DS - M
6,2019-11-06,0,0,NA,HC 6% + 0.2%DS - M
6,2019-11-08,13,0.3611111111111111,NA,HC 6% + 0.2%DS - M
6,2019-11-11,36,1,NA,HC 6% + 0.2%DS - M
6,2019-11-13,36,1,Value smaller than max: previous = 32 : new = 36,HC 6% + 0.2%DS - M
6,2019-11-15,36,1,Value smaller than max: previous = 32 : new = 36,HC 6% + 0.2%DS - M
6,2019-11-18,36,1,Value smaller than max: previous = 32 : new = 36,HC 6% + 0.2%DS - M
6,2019-11-20,36,1,Value smaller than max: previous = 32 : new = 36,HC 6% + 0.2%DS - M
6,2019-11-22,36,1,Value smaller than max: previous = 32 : new = 36,HC 6% + 0.2%DS - M
6,2019-11-25,36,1,Value smaller than max: previous = 32 : new = 36,HC 6% + 0.2%DS - M
6,2019-11-27,36,1,Value smaller than max: previous = 32 : new = 36,HC 6% + 0.2%DS - M
6,2019-11-29,36,1,Value smaller than max: previous = 32 : new = 36,HC 6% + 0.2%DS - M
6,2019-12-02,36,1,Value smaller than max: previous = 32 : new = 36,HC 6% + 0.2%DS - M
7,2019-10-28,0,0,NA,BU 1% + 2% AB - L
7,2019-10-29,0,0,NA,BU 1% + 2% AB - L
7,2019-10-30,0,0,NA,BU 1% + 2% AB - L
7,2019-11-01,0,0,NA,BU 1% + 2% AB - L
7,2019-11-04,1,0.16666666666666666,NA,BU 1% + 2% AB - L
7,2019-11-06,4,0.6666666666666666,NA,BU 1% + 2% AB - L
7,2019-11-08,4,0.6666666666666666,NA,BU 1% + 2% AB - L
7,2019-11-11,4,0.6666666666666666,NA,BU 1% + 2% AB - L
7,2019-11-13,4,0.6666666666666666,NA,BU 1% + 2% AB - L
7,2019-11-15,4,0.6666666666666666,NA,BU 1% + 2% AB - L
7,2019-11-18,6,1,NA,BU 1% + 2% AB - L
7,2019-11-20,6,1,NA,BU 1% + 2% AB - L
7,2019-11-22,6,1,NA,BU 1% + 2% AB - L
7,2019-11-25,6,1,NA,BU 1% + 2% AB - L
7,2019-11-27,6,1,NA,BU 1% + 2% AB - L
7,2019-11-29,6,1,NA,BU 1% + 2% AB - L
7,2019-12-02,6,1,NA,BU 1% + 2% AB - L
8,2019-10-28,0,0,NA,BU 2% + 2% AB - E
8,2019-10-29,0,0,NA,BU 2% + 2% AB - E
8,2019-10-30,0,0,NA,BU 2% + 2% AB - E
8,2019-11-01,0,0,NA,BU 2% + 2% AB - E
8,2019-11-04,0,0,NA,BU 2% + 2% AB - E
8,2019-11-06,0,0,NA,BU 2% + 2% AB - E
8,2019-11-08,1,1,NA,BU 2% + 2% AB - E
8,2019-11-11,1,1,NA,BU 2% + 2% AB - E
8,2019-11-13,1,1,NA,BU 2% + 2% AB - E
8,2019-11-15,1,1,NA,BU 2% + 2% AB - E
8,2019-11-18,1,1,NA,BU 2% + 2% AB - E
8,2019-11-20,1,1,NA,BU 2% + 2% AB - E
8,2019-11-22,1,1,NA,BU 2% + 2% AB - E
8,2019-11-25,1,1,NA,BU 2% + 2% AB - E
8,2019-11-27,1,1,NA,BU 2% + 2% AB - E
8,2019-11-29,1,1,NA,BU 2% + 2% AB - E
8,2019-12-02,1,1,NA,BU 2% + 2% AB - E
9,2019-10-28,0,0,NA,BU Lonza 4% + 2% AB - M
9,2019-10-29,0,0,NA,BU Lonza 4% + 2% AB - M
9,2019-10-30,0,0,NA,BU Lonza 4% + 2% AB - M
9,2019-11-01,0,0,NA,BU Lonza 4% + 2% AB - M
9,2019-11-04,0,0,NA,BU Lonza 4% + 2% AB - M
9,2019-11-06,4,0.3333333333333333,NA,BU Lonza 4% + 2% AB - M
9,2019-11-08,8,0.6666666666666666,NA,BU Lonza 4% + 2% AB - M
9,2019-11-11,10,0.8333333333333334,NA,BU Lonza 4% + 2% AB - M
9,2019-11-13,10,0.8333333333333334,NA,BU Lonza 4% + 2% AB - M
9,2019-11-15,10,0.8333333333333334,NA,BU Lonza 4% + 2% AB - M
9,2019-11-18,12,1,NA,BU Lonza 4% + 2% AB - M
9,2019-11-20,12,1,NA,BU Lonza 4% + 2% AB - M
9,2019-11-22,12,1,NA,BU Lonza 4% + 2% AB - M
9,2019-11-25,12,1,NA,BU Lonza 4% + 2% AB - M
