CaneID,Date,OpenBuds,BudbreakPercentage,information,Treatment
1001,2019-09-12,0,0,NA,BU 1% + 2% AB - E
1001,2019-09-16,0,0,NA,BU 1% + 2% AB - E
1001,2019-09-19,0,0,NA,BU 1% + 2% AB - E
1001,2019-09-23,1,0.14285714285714285,NA,BU 1% + 2% AB - E
1001,2019-09-26,1,0.14285714285714285,NA,BU 1% + 2% AB - E
1001,2019-09-30,1,0.14285714285714285,NA,BU 1% + 2% AB - E
1001,2019-10-03,1,0.14285714285714285,NA,BU 1% + 2% AB - E
1001,2019-10-07,1,0.14285714285714285,NA,BU 1% + 2% AB - E
1001,2019-10-10,1,0.14285714285714285,NA,BU 1% + 2% AB - E
1001,2019-10-14,2,0.2857142857142857,NA,BU 1% + 2% AB - E
1001,2019-10-17,3,0.42857142857142855,NA,BU 1% + 2% AB - E
1001,2019-10-21,4,0.5714285714285714,NA,BU 1% + 2% AB - E
1001,2019-10-24,4,0.5714285714285714,NA,BU 1% + 2% AB - E
1001,2019-10-29,5,0.7142857142857143,NA,BU 1% + 2% AB - E
1001,2019-10-31,5,0.7142857142857143,NA,BU 1% + 2% AB - E
1001,2019-11-04,7,1,NA,BU 1% + 2% AB - E
1001,2019-11-07,7,1,NA,BU 1% + 2% AB - E
1001,2019-11-11,7,1,NA,BU 1% + 2% AB - E
1001,2019-11-18,7,1,NA,BU 1% + 2% AB - E
1001,2019-11-25,7,1,NA,BU 1% + 2% AB - E
1002,2019-09-12,0,0,NA,BU 2% + 2% AB - E
1002,2019-09-16,0,0,NA,BU 2% + 2% AB - E
1002,2019-09-19,0,0,NA,BU 2% + 2% AB - E
1002,2019-09-23,0,0,NA,BU 2% + 2% AB - E
1002,2019-09-26,0,0,NA,BU 2% + 2% AB - E
1002,2019-09-30,1,0.2,NA,BU 2% + 2% AB - E
1002,2019-10-03,1,0.2,NA,BU 2% + 2% AB - E
1002,2019-10-07,1,0.2,NA,BU 2% + 2% AB - E
1002,2019-10-10,1,0.2,NA,BU 2% + 2% AB - E
1002,2019-10-14,2,0.4,NA,BU 2% + 2% AB - E
1002,2019-10-17,2,0.4,NA,BU 2% + 2% AB - E
1002,2019-10-21,2,0.4,NA,BU 2% + 2% AB - E
1002,2019-10-24,2,0.4,NA,BU 2% + 2% AB - E
1002,2019-10-29,2,0.4,NA,BU 2% + 2% AB - E
1002,2019-10-31,2,0.4,NA,BU 2% + 2% AB - E
1002,2019-11-04,2,0.4,NA,BU 2% + 2% AB - E
1002,2019-11-07,2,0.4,NA,BU 2% + 2% AB - E
1002,2019-11-11,2,0.4,NA,BU 2% + 2% AB - E
1002,2019-11-18,2,0.4,NA,BU 2% + 2% AB - E
1002,2019-11-25,5,1,NA,BU 2% + 2% AB - E
1003,2019-09-12,0,0,NA,BU 6% + 2% AB - L
1003,2019-09-16,0,0,NA,BU 6% + 2% AB - L
1003,2019-09-19,0,0,NA,BU 6% + 2% AB - L
1003,2019-09-23,0,0,NA,BU 6% + 2% AB - L
1003,2019-09-26,0,0,NA,BU 6% + 2% AB - L
1003,2019-09-30,0,0,NA,BU 6% + 2% AB - L
1003,2019-10-03,1,0.5,NA,BU 6% + 2% AB - L
1003,2019-10-07,1,0.5,NA,BU 6% + 2% AB - L
1003,2019-10-10,2,1,NA,BU 6% + 2% AB - L
1003,2019-10-14,2,1,NA,BU 6% + 2% AB - L
1003,2019-10-17,2,1,NA,BU 6% + 2% AB - L
1003,2019-10-21,2,1,NA,BU 6% + 2% AB - L
1003,2019-10-24,2,1,NA,BU 6% + 2% AB - L
1003,2019-10-29,2,1,NA,BU 6% + 2% AB - L
1003,2019-10-31,2,1,NA,BU 6% + 2% AB - L
1003,2019-11-04,2,1,NA,BU 6% + 2% AB - L
1003,2019-11-07,2,1,NA,BU 6% + 2% AB - L
1003,2019-11-11,2,1,NA,BU 6% + 2% AB - L
1003,2019-11-18,2,1,NA,BU 6% + 2% AB - L
1003,2019-11-25,2,1,NA,BU 6% + 2% AB - L
1004,2019-09-12,0,0,NA,HC 6% + 0.2%DS - E
1004,2019-09-16,0,0,NA,HC 6% + 0.2%DS - E
1004,2019-09-19,0,0,NA,HC 6% + 0.2%DS - E
1004,2019-09-23,0,0,NA,HC 6% + 0.2%DS - E
1004,2019-09-26,0,0,NA,HC 6% + 0.2%DS - E
1004,2019-09-30,4,0.5,NA,HC 6% + 0.2%DS - E
1004,2019-10-03,5,0.625,NA,HC 6% + 0.2%DS - E
1004,2019-10-07,8,1,NA,HC 6% + 0.2%DS - E
1004,2019-10-10,8,1,NA,HC 6% + 0.2%DS - E
1004,2019-10-14,8,1,NA,HC 6% + 0.2%DS - E
1004,2019-10-17,8,1,NA,HC 6% + 0.2%DS - E
1004,2019-10-21,8,1,NA,HC 6% + 0.2%DS - E
1004,2019-10-24,8,1,NA,HC 6% + 0.2%DS - E
1004,2019-10-29,8,1,NA,HC 6% + 0.2%DS - E
1004,2019-10-31,8,1,NA,HC 6% + 0.2%DS - E
1004,2019-11-04,8,1,NA,HC 6% + 0.2%DS - E
1004,2019-11-07,8,1,NA,HC 6% + 0.2%DS - E
1004,2019-11-11,8,1,NA,HC 6% + 0.2%DS - E
1004,2019-11-18,8,1,NA,HC 6% + 0.2%DS - E
1004,2019-11-25,8,1,NA,HC 6% + 0.2%DS - E
1005,2019-09-12,0,0,NA,Untreated control
1005,2019-09-16,0,0,NA,Untreated control
1005,2019-09-19,0,0,NA,Untreated control
1005,2019-09-23,0,0,NA,Untreated control
