CaneID,Date,FlowerCount,FlowerPercentage,information,Treatment
1001,2019-11-11,0,0,NA,BU 1% + 2% AB - E
1001,2019-11-13,0,0,NA,BU 1% + 2% AB - E
1001,2019-11-15,4,0.4,NA,BU 1% + 2% AB - E
1001,2019-11-18,5,0.5,NA,BU 1% + 2% AB - E
1001,2019-11-20,5,0.5,NA,BU 1% + 2% AB - E
1001,2019-11-22,5,0.5,NA,BU 1% + 2% AB - E
1001,2019-11-25,8,0.8,NA,BU 1% + 2% AB - E
1001,2019-11-27,10,1,NA,BU 1% + 2% AB - E
1001,2019-11-29,10,1,NA,BU 1% + 2% AB - E
1001,2019-12-02,10,1,NA,BU 1% + 2% AB - E
1001,2019-12-06,10,1,NA,BU 1% + 2% AB - E
1001,2019-12-09,10,1,NA,BU 1% + 2% AB - E
1002,2019-11-11,0,0,NA,BU 2% + 2% AB - E
1002,2019-11-13,0,0,NA,BU 2% + 2% AB - E
1002,2019-11-15,0,0,NA,BU 2% + 2% AB - E
1002,2019-11-18,0,0,NA,BU 2% + 2% AB - E
1002,2019-11-20,1,0.16666666666666666,NA,BU 2% + 2% AB - E
1002,2019-11-22,1,0.16666666666666666,NA,BU 2% + 2% AB - E
1002,2019-11-25,6,1,NA,BU 2% + 2% AB - E
1002,2019-11-27,6,1,NA,BU 2% + 2% AB - E
1002,2019-11-29,6,1,NA,BU 2% + 2% AB - E
1002,2019-12-02,6,1,NA,BU 2% + 2% AB - E
1002,2019-12-06,6,1,NA,BU 2% + 2% AB - E
1002,2019-12-09,6,1,NA,BU 2% + 2% AB - E
1003,2019-11-11,0,0,NA,BU 6% + 2% AB - L
1003,2019-11-13,0,0,NA,BU 6% + 2% AB - L
1003,2019-11-15,0,0,NA,BU 6% + 2% AB - L
1003,2019-11-18,0,0,NA,BU 6% + 2% AB - L
1003,2019-11-20,3,0.5,NA,BU 6% + 2% AB - L
1003,2019-11-22,6,1,NA,BU 6% + 2% AB - L
1003,2019-11-25,6,1,NA,BU 6% + 2% AB - L
1003,2019-11-27,6,1,NA,BU 6% + 2% AB - L
1003,2019-11-29,6,1,NA,BU 6% + 2% AB - L
1003,2019-12-02,6,1,NA,BU 6% + 2% AB - L
1003,2019-12-06,6,1,NA,BU 6% + 2% AB - L
1003,2019-12-09,6,1,NA,BU 6% + 2% AB - L
1004,2019-11-11,0,0,NA,HC 6% + 0.2%DS - E
1004,2019-11-13,0,0,NA,HC 6% + 0.2%DS - E
1004,2019-11-15,0,0,NA,HC 6% + 0.2%DS - E
1004,2019-11-18,0,0,NA,HC 6% + 0.2%DS - E
1004,2019-11-20,4,0.4444444444444444,NA,HC 6% + 0.2%DS - E
1004,2019-11-22,8,0.8888888888888888,NA,HC 6% + 0.2%DS - E
1004,2019-11-25,9,1,NA,HC 6% + 0.2%DS - E
1004,2019-11-27,9,1,NA,HC 6% + 0.2%DS - E
1004,2019-11-29,9,1,NA,HC 6% + 0.2%DS - E
1004,2019-12-02,9,1,NA,HC 6% + 0.2%DS - E
1004,2019-12-06,9,1,NA,HC 6% + 0.2%DS - E
1004,2019-12-09,9,1,NA,HC 6% + 0.2%DS - E
1005,2019-11-11,0,0,NA,Untreated control
1005,2019-11-13,0,0,NA,Untreated control
1005,2019-11-15,0,0,NA,Untreated control
1005,2019-11-18,0,0,NA,Untreated control
1005,2019-11-20,0,0,NA,Untreated control
1005,2019-11-22,0,0,NA,Untreated control
1005,2019-11-25,4,1,NA,Untreated control
1005,2019-11-27,4,1,NA,Untreated control
1005,2019-11-29,4,1,NA,Untreated control
1005,2019-12-02,4,1,NA,Untreated control
1005,2019-12-06,4,1,NA,Untreated control
1005,2019-12-09,4,1,NA,Untreated control
1006,2019-11-11,0,0,NA,BU 2% + 2% AB - L
1006,2019-11-13,0,0,NA,BU 2% + 2% AB - L
1006,2019-11-15,0,0,NA,BU 2% + 2% AB - L
1006,2019-11-18,0,0,NA,BU 2% + 2% AB - L
1006,2019-11-20,0,0,NA,BU 2% + 2% AB - L
1006,2019-11-22,0,0,NA,BU 2% + 2% AB - L
1006,2019-11-25,7,0.4666666666666667,NA,BU 2% + 2% AB - L
1006,2019-11-27,8,0.5333333333333333,NA,BU 2% + 2% AB - L
1006,2019-11-29,8,0.5333333333333333,NA,BU 2% + 2% AB - L
1006,2019-12-02,15,1,NA,BU 2% + 2% AB - L
1006,2019-12-06,15,1,NA,BU 2% + 2% AB - L
1006,2019-12-09,15,1,NA,BU 2% + 2% AB - L
1007,2019-11-11,0,0,NA,BU 4% + 2% AB - L
1007,2019-11-13,0,0,NA,BU 4% + 2% AB - L
1007,2019-11-15,0,0,NA,BU 4% + 2% AB - L
1007,2019-11-18,0,0,NA,BU 4% + 2% AB - L
1007,2019-11-20,0,0,NA,BU 4% + 2% AB - L
1007,2019-11-22,0,0,NA,BU 4% + 2% AB - L
1007,2019-11-25,5,0.2777777777777778,NA,BU 4% + 2% AB - L
1007,2019-11-27,11,0.6111111111111112,NA,BU 4% + 2% AB - L
1007,2019-11-29,18,1,NA,BU 4% + 2% AB - L
1007,2019-12-02,18,1,NA,BU 4% + 2% AB - L
1007,2019-12-06,18,1,NA,BU 4% + 2% AB - L
1007,2019-12-09,18,1,NA,BU 4% + 2% AB - L
1008,2019-11-11,0,0,NA,BU 4% + 2% AB - M
1008,2019-11-13,0,0,NA,BU 4% + 2% AB - M
1008,2019-11-15,0,0,NA,BU 4% + 2% AB - M
1008,2019-11-18,1,0.03225806451612903,NA,BU 4% + 2% AB - M
1008,2019-11-20,2,0.06451612903225806,NA,BU 4% + 2% AB - M
1008,2019-11-22,3,0.0967741935483871,NA,BU 4% + 2% AB - M
1008,2019-11-25,27,0.8709677419354839,NA,BU 4% + 2% AB - M
1008,2019-11-27,28,0.9032258064516129,NA,BU 4% + 2% AB - M
1008,2019-11-29,31,1,NA,BU 4% + 2% AB - M
1008,2019-12-02,31,1,NA,BU 4% + 2% AB - M
1008,2019-12-06,31,1,NA,BU 4% + 2% AB - M
1008,2019-12-09,31,1,NA,BU 4% + 2% AB - M
1009,2019-11-11,0,0,NA,HC 6% + 0.2%DS - M
1009,2019-11-13,0,0,NA,HC 6% + 0.2%DS - M
1009,2019-11-15,0,0,NA,HC 6% + 0.2%DS - M
1009,2019-11-18,12,0.3157894736842105,NA,HC 6% + 0.2%DS - M
1009,2019-11-20,26,0.6842105263157895,NA,HC 6% + 0.2%DS - M
1009,2019-11-22,38,1,NA,HC 6% + 0.2%DS - M
1009,2019-11-25,38,1,NA,HC 6% + 0.2%DS - M
1009,2019-11-27,38,1,NA,HC 6% + 0.2%DS - M
1009,2019-11-29,38,1,NA,HC 6% + 0.2%DS - M
1009,2019-12-02,38,1,NA,HC 6% + 0.2%DS - M
1009,2019-12-06,38,1,NA,HC 6% + 0.2%DS - M
1009,2019-12-09,38,1,NA,HC 6% + 0.2%DS - M
1010,2019-11-11,0,0,NA,2% AB - M
1010,2019-11-13,0,0,NA,2% AB - M
1010,2019-11-15,0,0,NA,2% AB - M
1010,2019-11-18,0,0,NA,2% AB - M
1010,2019-11-20,0,0,NA,2% AB - M
1010,2019-11-22,0,0,NA,2% AB - M
1010,2019-11-25,0,0,NA,2% AB - M
1010,2019-11-27,10,0.5882352941176471,NA,2% AB - M
1010,2019-11-29,17,1,NA,2% AB - M
1010,2019-12-02,17,1,NA,2% AB - M
1010,2019-12-06,17,1,NA,2% AB - M
1010,2019-12-09,17,1,NA,2% AB - M
1011,2019-11-11,0,NaN,NA,BU 2% + 2% AB - M
1011,2019-11-13,0,NaN,NA,BU 2% + 2% AB - M
1011,2019-11-15,0,NaN,NA,BU 2% + 2% AB - M
1011,2019-11-18,0,NaN,NA,BU 2% + 2% AB - M
1011,2019-11-20,0,NaN,NA,BU 2% + 2% AB - M
1011,2019-11-22,0,NaN,NA,BU 2% + 2% AB - M
1011,2019-11-25,0,NaN,NA,BU 2% + 2% AB - M
1011,2019-11-27,0,NaN,NA,BU 2% + 2% AB - M
1011,2019-11-29,0,NaN,NA,BU 2% + 2% AB - M
1011,2019-12-02,0,NaN,NA,BU 2% + 2% AB - M
1011,2019-12-06,0,NaN,NA,BU 2% + 2% AB - M
1011,2019-12-09,0,NaN,NA,BU 2% + 2% AB - M
1012,2019-11-11,0,0,NA,BU 6% + 2% AB - M
1012,2019-11-13,0,0,NA,BU 6% + 2% AB - M
1012,2019-11-15,0,0,NA,BU 6% + 2% AB - M
1012,2019-11-18,0,0,NA,BU 6% + 2% AB - M
1012,2019-11-20,0,0,NA,BU 6% + 2% AB - M
1012,2019-11-22,1,0.07692307692307693,NA,BU 6% + 2% AB - M
1012,2019-11-25,6,0.46153846153846156,NA,BU 6% + 2% AB - M
1012,2019-11-27,12,0.9230769230769231,NA,BU 6% + 2% AB - M
1012,2019-11-29,12,0.9230769230769231,NA,BU 6% + 2% AB - M
1012,2019-12-02,13,1,NA,BU 6% + 2% AB - M
1012,2019-12-06,13,1,NA,BU 6% + 2% AB - M
1012,2019-12-09,13,1,NA,BU 6% + 2% AB - M
1013,2019-11-11,0,0,NA,HC 6% + 0.2%DS - E
1013,2019-11-13,0,0,NA,HC 6% + 0.2%DS - E
1013,2019-11-15,0,0,NA,HC 6% + 0.2%DS - E
1013,2019-11-18,9,0.45,NA,HC 6% + 0.2%DS - E
1013,2019-11-20,13,0.65,NA,HC 6% + 0.2%DS - E
1013,2019-11-22,14,0.7,NA,HC 6% + 0.2%DS - E
1013,2019-11-25,19,0.95,NA,HC 6% + 0.2%DS - E
1013,2019-11-27,19,0.95,NA,HC 6% + 0.2%DS - E
1013,2019-11-29,20,1,NA,HC 6% + 0.2%DS - E
1013,2019-12-02,20,1,NA,HC 6% + 0.2%DS - E
1013,2019-12-06,20,1,NA,HC 6% + 0.2%DS - E
1013,2019-12-09,20,1,NA,HC 6% + 0.2%DS - E
1014,2019-11-11,0,0,NA,Untreated control
1014,2019-11-13,0,0,NA,Untreated control
1014,2019-11-15,5,1,NA,Untreated control
1014,2019-11-18,5,1,NA,Untreated control
1014,2019-11-20,5,1,NA,Untreated control
1014,2019-11-22,5,1,NA,Untreated control
1014,2019-11-25,5,1,NA,Untreated control
1014,2019-11-27,5,1,NA,Untreated control
1014,2019-11-29,5,1,NA,Untreated control
1014,2019-12-02,5,1,NA,Untreated control
1014,2019-12-06,5,1,NA,Untreated control
1014,2019-12-09,5,1,NA,Untreated control
1015,2019-11-11,0,0,NA,BU Lonza 4% + 2% AB - M
1015,2019-11-13,0,0,NA,BU Lonza 4% + 2% AB - M
1015,2019-11-15,1,0.05555555555555555,NA,BU Lonza 4% + 2% AB - M
1015,2019-11-18,5,0.2777777777777778,NA,BU Lonza 4% + 2% AB - M
1015,2019-11-20,9,0.5,NA,BU Lonza 4% + 2% AB - M
1015,2019-11-22,18,1,NA,BU Lonza 4% + 2% AB - M
1015,2019-11-25,18,1,NA,BU Lonza 4% + 2% AB - M
1015,2019-11-27,18,1,NA,BU Lonza 4% + 2% AB - M
1015,2019-11-29,18,1,NA,BU Lonza 4% + 2% AB - M
1015,2019-12-02,18,1,NA,BU Lonza 4% + 2% AB - M
1015,2019-12-06,18,1,NA,BU Lonza 4% + 2% AB - M
1015,2019-12-09,18,1,NA,BU Lonza 4% + 2% AB - M
1016,2019-11-11,0,0,NA,BU 4% + 2% AB - E
1016,2019-11-13,0,0,NA,BU 4% + 2% AB - E
1016,2019-11-15,0,0,NA,BU 4% + 2% AB - E
1016,2019-11-18,0,0,NA,BU 4% + 2% AB - E
1016,2019-11-20,0,0,NA,BU 4% + 2% AB - E
1016,2019-11-22,3,0.3333333333333333,NA,BU 4% + 2% AB - E
1016,2019-11-25,6,0.6666666666666666,NA,BU 4% + 2% AB - E
1016,2019-11-27,7,0.7777777777777778,NA,BU 4% + 2% AB - E
1016,2019-11-29,9,1,NA,BU 4% + 2% AB - E
1016,2019-12-02,9,1,NA,BU 4% + 2% AB - E
1016,2019-12-06,9,1,NA,BU 4% + 2% AB - E
1016,2019-12-09,9,1,NA,BU 4% + 2% AB - E
1017,2019-11-11,0,0,NA,BU 6% + 2% AB - L
1017,2019-11-13,0,0,NA,BU 6% + 2% AB - L
1017,2019-11-15,0,0,NA,BU 6% + 2% AB - L
1017,2019-11-18,0,0,NA,BU 6% + 2% AB - L
1017,2019-11-20,0,0,NA,BU 6% + 2% AB - L
1017,2019-11-22,0,0,NA,BU 6% + 2% AB - L
1017,2019-11-25,0,0,NA,BU 6% + 2% AB - L
1017,2019-11-27,0,0,NA,BU 6% + 2% AB - L
1017,2019-11-29,5,0.625,NA,BU 6% + 2% AB - L
1017,2019-12-02,5,0.625,NA,BU 6% + 2% AB - L
1017,2019-12-06,8,1,NA,BU 6% + 2% AB - L
1017,2019-12-09,8,1,NA,BU 6% + 2% AB - L
1018,2019-11-11,0,0,NA,HC 6% + 0.2%DS - L
1018,2019-11-13,0,0,NA,HC 6% + 0.2%DS - L
1018,2019-11-15,0,0,NA,HC 6% + 0.2%DS - L
1018,2019-11-18,0,0,NA,HC 6% + 0.2%DS - L
1018,2019-11-20,0,0,NA,HC 6% + 0.2%DS - L
1018,2019-11-22,0,0,NA,HC 6% + 0.2%DS - L
1018,2019-11-25,6,0.3333333333333333,NA,HC 6% + 0.2%DS - L
1018,2019-11-27,16,0.8888888888888888,NA,HC 6% + 0.2%DS - L
1018,2019-11-29,18,1,NA,HC 6% + 0.2%DS - L
1018,2019-12-02,18,1,NA,HC 6% + 0.2%DS - L
1018,2019-12-06,18,1,NA,HC 6% + 0.2%DS - L
1018,2019-12-09,18,1,NA,HC 6% + 0.2%DS - L
1019,2019-11-11,0,0,NA,BU 2% + 2% AB - L
1019,2019-11-13,0,0,NA,BU 2% + 2% AB - L
1019,2019-11-15,0,0,NA,BU 2% + 2% AB - L
1019,2019-11-18,0,0,NA,BU 2% + 2% AB - L
1019,2019-11-20,3,0.6,NA,BU 2% + 2% AB - L
1019,2019-11-22,5,1,NA,BU 2% + 2% AB - L
1019,2019-11-25,5,1,NA,BU 2% + 2% AB - L
1019,2019-11-27,5,1,NA,BU 2% + 2% AB - L
1019,2019-11-29,5,1,NA,BU 2% + 2% AB - L
1019,2019-12-02,5,1,NA,BU 2% + 2% AB - L
1019,2019-12-06,5,1,NA,BU 2% + 2% AB - L
