CaneID,Date,OpenBuds,BudbreakPercentage,information,Treatment
1,2019-08-22,0,0,NA,Budup 1% + AB 2%                        M
1,2019-08-26,0,0,NA,Budup 1% + AB 2%                        M
1,2019-08-30,3,0.1875,NA,Budup 1% + AB 2%                        M
1,2019-09-03,11,0.6875,NA,Budup 1% + AB 2%                        M
1,2019-09-06,12,0.75,NA,Budup 1% + AB 2%                        M
1,2019-09-10,13,0.8125,NA,Budup 1% + AB 2%                        M
1,2019-09-13,16,1,NA,Budup 1% + AB 2%                        M
1,2019-09-17,16,1,NA,Budup 1% + AB 2%                        M
1,2019-09-20,16,1,NA,Budup 1% + AB 2%                        M
2,2019-08-22,0,0,NA,Budup 2% + AB 2%                         L
2,2019-08-26,0,0,NA,Budup 2% + AB 2%                         L
2,2019-08-30,0,0,NA,Budup 2% + AB 2%                         L
2,2019-09-03,10,0.5882352941176471,NA,Budup 2% + AB 2%                         L
2,2019-09-06,11,0.6470588235294118,NA,Budup 2% + AB 2%                         L
2,2019-09-10,12,0.7058823529411765,NA,Budup 2% + AB 2%                         L
2,2019-09-13,14,0.8235294117647058,NA,Budup 2% + AB 2%                         L
2,2019-09-17,17,1,NA,Budup 2% + AB 2%                         L
2,2019-09-20,17,1,NA,Budup 2% + AB 2%                         L
3,2019-08-22,0,0,NA,2% AB                                                M
3,2019-08-26,0,0,NA,2% AB                                                M
3,2019-08-30,1,0.0625,NA,2% AB                                                M
3,2019-09-03,10,0.625,NA,2% AB                                                M
3,2019-09-06,13,0.8125,NA,2% AB                                                M
3,2019-09-10,14,0.875,NA,2% AB                                                M
3,2019-09-13,16,1,NA,2% AB                                                M
3,2019-09-17,16,1,NA,2% AB                                                M
3,2019-09-20,16,1,NA,2% AB                                                M
4,2019-08-22,0,0,NA,Budup 6% + AB 2%                         L
4,2019-08-26,0,0,NA,Budup 6% + AB 2%                         L
4,2019-08-30,0,0,NA,Budup 6% + AB 2%                         L
4,2019-09-03,3,0.1875,NA,Budup 6% + AB 2%                         L
4,2019-09-06,10,0.625,NA,Budup 6% + AB 2%                         L
4,2019-09-10,11,0.6875,NA,Budup 6% + AB 2%                         L
4,2019-09-13,13,0.8125,NA,Budup 6% + AB 2%                         L
4,2019-09-17,16,1,NA,Budup 6% + AB 2%                         L
4,2019-09-20,16,1,NA,Budup 6% + AB 2%                         L
5,2019-08-22,0,0,NA,3% HiCane                                        L
5,2019-08-26,0,0,NA,3% HiCane                                        L
5,2019-08-30,2,0.1,NA,3% HiCane                                        L
5,2019-09-03,10,0.5,NA,3% HiCane                                        L
5,2019-09-06,12,0.6,NA,3% HiCane                                        L
5,2019-09-10,14,0.7,NA,3% HiCane                                        L
5,2019-09-13,16,0.8,NA,3% HiCane                                        L
5,2019-09-17,20,1,NA,3% HiCane                                        L
5,2019-09-20,20,1,NA,3% HiCane                                        L
6,2019-08-22,0,0,NA,Budup 4% + AB 2%                        M
