CaneID,Date,FlowerCount,FlowerPercentage,information,Treatment
1,2019-10-14,0,0,NA,Budup 1% + AB 2%                        M
1,2019-10-17,0,0,NA,Budup 1% + AB 2%                        M
1,2019-10-21,5,0.2631578947368421,NA,Budup 1% + AB 2%                        M
1,2019-10-24,19,1,NA,Budup 1% + AB 2%                        M
1,2019-10-29,19,1,NA,Budup 1% + AB 2%                        M
2,2019-10-14,0,0,NA,Budup 2% + AB 2%                         L
2,2019-10-17,0,0,NA,Budup 2% + AB 2%                         L
2,2019-10-21,0,0,NA,Budup 2% + AB 2%                         L
2,2019-10-24,10,1,NA,Budup 2% + AB 2%                         L
2,2019-10-29,10,1,NA,Budup 2% + AB 2%                         L
3,2019-10-14,0,0,NA,2% AB                                                M
3,2019-10-17,0,0,NA,2% AB                                                M
3,2019-10-21,3,0.2,NA,2% AB                                                M
3,2019-10-24,15,1,NA,2% AB                                                M
3,2019-10-29,15,1,NA,2% AB                                                M
4,2019-10-14,0,0,NA,Budup 6% + AB 2%                         L
4,2019-10-17,0,0,NA,Budup 6% + AB 2%                         L
4,2019-10-21,0,0,NA,Budup 6% + AB 2%                         L
4,2019-10-24,8,1,NA,Budup 6% + AB 2%                         L
4,2019-10-29,8,1,NA,Budup 6% + AB 2%                         L
5,2019-10-14,0,0,NA,3% HiCane                                        L
5,2019-10-17,0,0,NA,3% HiCane                                        L
5,2019-10-21,8,0.25,NA,3% HiCane                                        L
5,2019-10-24,32,1,NA,3% HiCane                                        L
5,2019-10-29,32,1,NA,3% HiCane                                        L
6,2019-10-14,0,0,NA,Budup 4% + AB 2%                        M
6,2019-10-17,0,0,NA,Budup 4% + AB 2%                        M
6,2019-10-21,0,0,NA,Budup 4% + AB 2%                        M
6,2019-10-24,27,1,NA,Budup 4% + AB 2%                        M
6,2019-10-29,27,1,NA,Budup 4% + AB 2%                        M
7,2019-10-14,0,0,NA,Budup 1% + AB 2%                       VL
7,2019-10-17,0,0,NA,Budup 1% + AB 2%                       VL
7,2019-10-21,5,0.2777777777777778,NA,Budup 1% + AB 2%                       VL
7,2019-10-24,18,1,NA,Budup 1% + AB 2%                       VL
7,2019-10-29,18,1,NA,Budup 1% + AB 2%                       VL
8,2019-10-14,0,0,NA,3% HiCane                                      VL
8,2019-10-17,0,0,NA,3% HiCane                                      VL
8,2019-10-21,0,0,NA,3% HiCane                                      VL
