CaneID,WinterBuds,KingFlowers,LateralFlowers,BudBreak,VegetativeShoots,FloralShootPercentage,KingFlowersPerWinterBud,LateralFlowersPerWinterBud,KingFlowersPerFloralShoots
1,17,67,27,94.11764705882352,1,88.23529411764706,3.9411764705882355,1.588235294117647,4.466666666666667
2,19,67,19,89.47368421052632,0,89.47368421052632,3.526315789473684,1,3.9411764705882355
3,16,72,16,100,1,93.75,4.5,1,4.8
4,18,49,14,88.88888888888889,2,77.77777777777779,2.7222222222222223,0.7777777777777778,3.5
5,20,74,36,95,2,85,3.7,1.8,4.352941176470588
6,18,112,38,100,0,100,6.222222222222222,2.111111111111111,6.222222222222222
7,25,48,14,96,6,72,1.92,0.56,2.6666666666666665
8,17,37,13,82.35294117647058,4,58.82352941176471,2.176470588235294,0.7647058823529411,3.7
9,17,67,20,88.23529411764706,0,88.23529411764706,3.9411764705882355,1.1764705882352942,4.466666666666667
10,22,83,79,72.72727272727273,0,72.72727272727273,3.772727272727273,3.590909090909091,5.1875
11,20,68,42,75,0,75,3.4,2.1,4.533333333333333
12,18,115,66,100,0,100,6.388888888888889,3.6666666666666665,6.388888888888889
13,21,133,118,90.47619047619048,0,90.47619047619048,6.333333333333333,5.619047619047619,7
14,24,28,5,87.5,5,66.66666666666666,1.1666666666666667,0.20833333333333334,1.75
15,20,46,21,100,3,85,2.3,1.05,2.7058823529411766
16,16,60,18,93.75,1,87.5,3.75,1.125,4.285714285714286
17,16,21,2,87.5,6,50,1.3125,0.125,2.625
18,16,84,92,81.25,0,81.25,5.25,5.75,6.461538461538462
19,28,113,31,75,0,75,4.035714285714286,1.1071428571428572,5.380952380952381
21,19,51,27,84.21052631578947,2,73.68421052631578,2.6842105263157894,1.4210526315789473,3.642857142857143
22,16,60,18,87.5,0,87.5,3.75,1.125,4.285714285714286
23,18,89,34,100,0,100,4.944444444444445,1.8888888888888888,4.944444444444445
24,16,8,0,93.75,12,18.75,0.5,0,2.6666666666666665
25,18,65,12,100,1,94.44444444444444,3.611111111111111,0.6666666666666666,3.823529411764706
26,18,66,28,100,3,83.33333333333334,3.6666666666666665,1.5555555555555556,4.4
27,21,38,3,95.23809523809523,6,66.66666666666666,1.8095238095238095,0.14285714285714285,2.7142857142857144
28,16,74,21,87.5,0,87.5,4.625,1.3125,5.285714285714286
29,16,62,8,100,2,87.5,3.875,0.5,4.428571428571429
30,13,22,1,76.92307692307692,3,53.84615384615385,1.6923076923076923,0.07692307692307693,3.142857142857143
31,20,79,59,95,0,95,3.95,2.95,4.157894736842105
32,15,44,5,100,1,93.33333333333333,2.933333333333333,0.3333333333333333,3.142857142857143
33,21,83,65,76.19047619047619,0,76.19047619047619,3.9523809523809526,3.0952380952380953,5.1875
34,27,105,9,92.5925925925926,0,92.5925925925926,3.888888888888889,0.3333333333333333,4.2
35,24,97,9,95.83333333333334,1,91.66666666666666,4.041666666666667,0.375,4.409090909090909
36,20,14,0,60,5,35,0.7,0,2
37,22,67,46,77.27272727272727,0,77.27272727272727,3.0454545454545454,2.090909090909091,3.9411764705882355
38,22,32,12,100,9,59.09090909090909,1.4545454545454546,0.5454545454545454,2.4615384615384617
39,21,120,100,85.71428571428572,0,85.71428571428571,5.714285714285714,4.761904761904762,6.666666666666667
40,18,53,6,100,0,100,2.9444444444444446,0.3333333333333333,2.9444444444444446
41,19,55,39,68.42105263157895,1,63.1578947368421,2.8947368421052633,2.0526315789473686,4.583333333333333
42,15,74,52,93.33333333333333,0,93.33333333333333,4.933333333333334,3.466666666666667,5.285714285714286
43,21,76,11,76.19047619047619,0,76.19047619047619,3.619047619047619,0.5238095238095238,4.75
44,18,68,1,94.44444444444444,1,88.88888888888889,3.7777777777777777,0.05555555555555555,4.25
45,19,130,150,84.21052631578947,0,84.21052631578947,6.842105263157895,7.894736842105263,8.125
46,19,84,42,94.73684210526316,1,89.47368421052632,4.421052631578948,2.210526315789474,4.9411764705882355
47,15,9,0,73.33333333333334,6,33.33333333333333,0.6,0,1.8
48,21,104,67,90.47619047619048,0,90.47619047619048,4.9523809523809526,3.1904761904761907,5.473684210526316
49,16,15,0,87.5,7,43.75,0.9375,0,2.142857142857143
50,19,95,61,84.21052631578947,0,84.21052631578947,5,3.210526315789474,5.9375
51,23,87,22,100,0,100,3.782608695652174,0.9565217391304348,3.782608695652174
52,18,82,20,94.44444444444444,0,94.44444444444444,4.555555555555555,1.1111111111111112,4.823529411764706
53,17,60,14,94.11764705882352,2,82.35294117647058,3.5294117647058822,0.8235294117647058,4.285714285714286
54,17,81,4,94.11764705882352,1,88.23529411764706,4.764705882352941,0.23529411764705882,5.4
55,22,128,24,100,0,100,5.818181818181818,1.0909090909090908,5.818181818181818
56,22,127,24,100,0,100,5.7727272727272725,1.0909090909090908,5.7727272727272725
57,13,22,7,84.61538461538461,2,69.23076923076923,1.6923076923076923,0.5384615384615384,2.4444444444444446
58,17,43,6,94.11764705882352,1,88.23529411764706,2.5294117647058822,0.35294117647058826,2.8666666666666667
59,16,8,0,68.75,7,25,0.5,0,2
60,27,115,55,88.88888888888889,0,88.88888888888889,4.2592592592592595,2.037037037037037,4.791666666666667
61,20,71,8,95,1,90,3.55,0.4,3.9444444444444446
62,13,57,30,84.61538461538461,0,84.61538461538461,4.384615384615385,2.3076923076923075,5.181818181818182
63,30,95,13,86.66666666666667,0,86.66666666666667,3.1666666666666665,0.43333333333333335,3.6538461538461537
64,17,64,51,64.70588235294117,0,64.70588235294117,3.764705882352941,3,5.818181818181818
65,20,62,17,85,1,80,3.1,0.85,3.875
66,21,43,0,80.95238095238095,5,57.14285714285714,2.0476190476190474,0,3.5833333333333335
67,23,107,61,82.6086956521739,0,82.6086956521739,4.6521739130434785,2.652173913043478,5.631578947368421
68,21,54,0,100,2,90.47619047619048,2.5714285714285716,0,2.8421052631578947
69,19,90,45,100,0,100,4.7368421052631575,2.3684210526315788,4.7368421052631575
70,20,86,18,95,0,95,4.3,0.9,4.526315789473684
71,14,57,9,100,2,85.71428571428571,4.071428571428571,0.6428571428571429,4.75
72,13,8,3,76.92307692307692,7,23.076923076923077,0.6153846153846154,0.23076923076923078,2.6666666666666665
73,16,16,3,75,8,25,1,0.1875,4
74,17,56,12,100,0,100,3.2941176470588234,0.7058823529411765,3.2941176470588234
75,30,148,84,96.66666666666667,0,96.66666666666667,4.933333333333334,2.8,5.103448275862069
76,36,99,7,91.66666666666666,3,83.33333333333334,2.75,0.19444444444444445,3.3
77,8,18,0,87.5,0,87.5,2.25,0,2.5714285714285716
78,14,60,5,100,0,100,4.285714285714286,0.35714285714285715,4.285714285714286
79,17,60,30,70.58823529411764,0,70.58823529411765,3.5294117647058822,1.7647058823529411,5
80,18,75,33,77.77777777777779,0,77.77777777777779,4.166666666666667,1.8333333333333333,5.357142857142857
81,16,43,4,93.75,2,81.25,2.6875,0.25,3.3076923076923075
82,23,100,21,91.30434782608697,0,91.30434782608695,4.3478260869565215,0.9130434782608695,4.761904761904762
83,12,37,0,91.66666666666666,1,83.33333333333334,3.0833333333333335,0,3.7
84,17,72,19,88.23529411764706,0,88.23529411764706,4.235294117647059,1.1176470588235294,4.8
85,15,33,0,100,1,93.33333333333333,2.2,0,2.357142857142857
86,20,90,2,90,0,90,4.5,0.1,5
87,12,56,17,100,0,100,4.666666666666667,1.4166666666666667,4.666666666666667
88,16,21,4,75,3,56.25,1.3125,0.25,2.3333333333333335
89,12,25,0,100,2,83.33333333333334,2.0833333333333335,0,2.5
90,19,35,8,84.21052631578947,5,57.89473684210527,1.8421052631578947,0.42105263157894735,3.1818181818181817
91,18,66,13,94.44444444444444,2,83.33333333333334,3.6666666666666665,0.7222222222222222,4.4
92,18,110,36,94.44444444444444,0,94.44444444444444,6.111111111111111,2,6.470588235294118
93,19,110,65,89.47368421052632,1,84.21052631578947,5.7894736842105265,3.4210526315789473,6.875
94,19,84,26,94.73684210526316,0,94.73684210526315,4.421052631578948,1.368421052631579,4.666666666666667
95,16,69,26,93.75,0,93.75,4.3125,1.625,4.6
96,19,70,10,100,0,100,3.6842105263157894,0.5263157894736842,3.6842105263157894
